finding,ref_id,overlap,confidence
1,,2,low
2,,2,low
3,,2,low
4,GN_IRP_SA_001,5,med
5,,1,low
6,,0,low
7,,1,low
8,,1,low
9,,2,low
10,,1,low
11,,1,low
12,GN_IMP_SA_001,3,med
13,GN_INS_SA_003,3,med
14,,1,low
15,,2,low
16,FS_SCHM_RA_008,4,med
17,FS_SCHM_RA_008,3,med
18,,2,low
19,AP_LGFL_RA_004,3,med
20,AP_LGFL_RA_004,4,med
21,AP_LGFL_RA_004,4,med
22,GN_PAGE_004,4,med
23,FS_OTBL_RA_007,4,med
24,AP_LGFL_RA_004,3,med
25,GN_PAGE_007,3,med
26,,2,low
27,FS_OTBL_RA_002,3,med
28,,2,low
29,,1,low
30,,2,low
31,FS_VBR_012,3,med
32,,2,low
33,FS_SUPB_RA_001,3,med
34,,2,low
35,,1,low
36,,2,low
37,,2,low
38,,2,low
39,FS_VBR_006,3,med
40,FS_VBR_007,3,med
41,FS_VBR_008,3,med
42,FS_VBR_009,4,med
43,FS_VBR_012,3,med
44,FS_VBR_012,5,med
45,FS_VBR_010,4,med
46,FS_VBR_011,3,med
47,FS_VBR_RA_002,5,med
48,,2,low
49,FS_VBR_RA_011,3,med
50,FS_VBR_RA_011,4,med
51,,2,low
52,,2,low
53,,2,low
54,,2,low
55,CT_BKRC_RA_002,3,med
56,AP_LGFL_RA_004,3,med
57,FS_SUPB_006,4,med
58,,2,low
59,FS_SUPB_RA_002,5,med
60,,2,low
61,FS_CHKP_RA_002,3,med
62,FS_CHKP_005,3,med
63,FS_VBR_009,3,med
64,FS_CHKP_005,3,med
65,FS_CHKP_006,3,med
66,FS_CHKP_007,4,med
67,,2,low
68,FS_CHKP_RA_001,6,high
69,FS_CHKP_RA_001,3,med
70,,2,low
71,,2,low
72,,2,low
73,FS_CHKP_RA_012,4,med
74,,1,low
75,,2,low
76,FS_CHKP_003,3,med
77,,2,low
78,,2,low
79,FS_CHKP_RA_001,4,med
80,MD_SI_RA_004,3,med
81,GN_ARCH_RA_001,5,med
82,GN_ARCH_RA_001,4,med
83,FS_SCHM_RA_004,3,med
84,,1,low
85,,1,low
86,,2,low
87,FS_CHKP_RA_011,4,med
88,CT_BKRC_RA_002,3,med
89,,2,low
90,,2,low
91,CT_ALLC_RA_001,5,med
92,CT_ALLC_RA_001,4,med
93,CT_ALLC_RA_001,4,med
94,FS_OTBL_RA_002,5,med
95,FS_SCHM_RA_008,4,med
