doc,n_claims,confirmed,static,contested,claims
structures/vbr.md,22,14,8,0,FS_VBR_001;FS_VBR_002;FS_VBR_003;FS_VBR_004;FS_VBR_005;FS_VBR_006;FS_VBR_007;FS_VBR_008;FS_VBR_009;FS_VBR_010;FS_VBR_011;FS_VBR_012;FS_VBR_013;FS_VBR_RA_002;FS_VBR_RA_004;FS_VBR_RA_005;FS_VBR_RA_006;FS_VBR_RA_007;FS_VBR_RA_009;FS_VBR_RA_010;FS_VBR_RA_012;FS_VBR_SA_013
structures/supb.md,13,9,4,0,FS_SUPB_001;FS_SUPB_002;FS_SUPB_003;FS_SUPB_004;FS_SUPB_005;FS_SUPB_006;FS_SUPB_007;FS_SUPB_RA_001;FS_SUPB_RA_002;FS_SUPB_RA_003;FS_SUPB_RA_004;FS_SUPB_RA_005;FS_SUPB_RA_006
structures/chkp.md,30,23,5,2,FS_CHKP_001;FS_CHKP_002;FS_CHKP_003;FS_CHKP_004;FS_CHKP_005;FS_CHKP_006;FS_CHKP_007;FS_CHKP_008;FS_CHKP_009;FS_CHKP_010;FS_CHKP_011;FS_CHKP_012;FS_CHKP_013;FS_CHKP_014;FS_CHKP_015;FS_CHKP_016;FS_CHKP_017;FS_CHKP_018;FS_CHKP_019;FS_CHKP_020;FS_CHKP_021;FS_CHKP_RA_001;FS_CHKP_RA_002;FS_CHKP_RA_003;FS_CHKP_RA_005;FS_CHKP_RA_007;FS_CHKP_RA_008;FS_CHKP_RA_009;FS_CHKP_RA_011;FS_CHKP_RA_012
structures/container_table.md,20,11,8,1,CT_CTBL_001;CT_CTBL_002;CT_CTBL_003;CT_CTBL_004;CT_CTBL_005;CT_CTBL_006;CT_CTBL_007;CT_CTBL_008;CT_CTBL_009;CT_CTBL_010;CT_CTBL_011;CT_CTBL_RA_003;CT_CTBL_RA_004;CT_CTBL_RA_006;CT_CTBL_RA_007;CT_DRNT_001;CT_DRNT_002;CT_DRNT_003;CT_DRNT_004;CT_DRNT_RA_001
structures/object_table.md,23,1,22,0,FN_OPEN_SA_001;FS_OTBL_001;FS_OTBL_002;FS_OTBL_003;FS_OTBL_004;FS_OTBL_005;FS_OTBL_RA_001;FS_OTBL_RA_002;FS_OTBL_RA_003;FS_OTBL_RA_004;FS_OTBL_RA_005;FS_OTBL_RA_006;FS_OTBL_RA_007;FS_OTBL_SA_001;FS_OTBL_SA_002;FS_OTBL_SA_003;FS_OTBL_SA_004;FS_OTBL_SA_005;FS_OTBL_SA_006;FS_OTBL_SA_007;FS_OTBL_SA_008;FS_OTBL_SA_009;FS_OTBL_SA_010
structures/schema_table.md,12,0,12,0,FS_SCHM_001;FS_SCHM_RA_001;FS_SCHM_RA_002;FS_SCHM_RA_003;FS_SCHM_RA_004;FS_SCHM_RA_005;FS_SCHM_RA_006;FS_SCHM_RA_007;FS_SCHM_RA_008;FS_SCHM_RA_009;FS_SCHM_RA_010;FS_SCHM_RA_011
structures/page_header.md,9,8,1,0,GN_PAGE_001;GN_PAGE_002;GN_PAGE_003;GN_PAGE_004;GN_PAGE_005;GN_PAGE_006;GN_PAGE_007;GN_PAGE_RA_001;GN_PAGE_RA_002
structures/page_references.md,3,3,0,0,GN_PREF_001;GN_PREF_002;GN_PREF_003
structures/btree_node.md,18,10,8,0,GN_BPT_RA_001;GN_IDXH_001;GN_IDXH_002;GN_IDXH_003;GN_IDXR_001;GN_IDXR_002;GN_IDXR_003;GN_IDXR_004;GN_IENT_001;GN_IENT_002;GN_IENT_003;GN_IENT_004;GN_IENT_005;GN_IENT_006;MD_ATTR_RA_005;MD_ATTR_RA_006;MD_ATTR_RA_007;MD_ATTR_RA_008
structures/mlog.md,55,0,55,0,AP_LGFL_001;AP_LGFL_002;AP_LGFL_003;AP_LGFL_004;AP_LGFL_005;AP_LGFL_RA_002;AP_LGFL_RA_003;AP_LGFL_RA_004;AP_LGFL_RA_005;AP_LGFL_RA_006;AP_LGFL_RA_007;AP_LGTB_001;AP_LGTB_002;AP_LGTB_003;AP_LGTB_004;AP_LGTB_005;AP_REDO_001;AP_REDO_002;AP_REDO_003;AP_REDO_004;AP_REDO_005;AP_REDO_006;AP_REDO_007;AP_REDO_008;AP_REDO_009;AP_REDO_010;AP_REDO_011;AP_REDO_012;AP_REDO_013;AP_REDO_014;AP_REDO_015;AP_REDO_016;AP_REDO_017;AP_REDO_018;AP_REDO_019;AP_REDO_020;AP_REDO_021;AP_REDO_022;AP_REDO_023;AP_REDO_024;AP_REDO_025;AP_REDO_026;AP_REDO_027;AP_REDO_028;AP_REDO_029;AP_REDO_030;AP_REDO_031;AP_REDO_032;AP_REDO_033;AP_REDO_034;AP_REDO_035;AP_REDO_036;AP_REDO_037;AP_REDO_038;AP_REDO_039
structures/usn_journal.md,7,0,7,0,AP_CHJN_001;AP_CHJN_002;AP_CHJN_003;AP_CHJN_004;MD_USN_RA_001;MD_USN_RA_002;MD_USN_RA_003
structures/extent_descriptors.md,11,1,9,1,CT_DRNT_001;CT_DRNT_002;CT_DRNT_003;CT_DRNT_004;CT_DRNT_RA_001;MD_DATA_RA_001;MD_DATA_RA_002;MD_DATA_RA_003;MD_DATA_RA_004;MD_DATA_RA_005;MD_DATA_RA_006
structures/directory_entries.md,14,10,4,0,FN_DTBL_001;FN_DTBL_002;FN_DTBL_003;FN_DTBL_004;FN_DTBL_005;FN_DTBL_006;MD_DDIR_001;MD_DDIR_002;MD_DDIR_003;MD_DDIR_004;MD_DDIR_005;MD_DDIR_006;MD_DISK_RA_010;MD_SNAP_RA_005
structures/allocators.md,4,1,3,0,CT_ALLC_001;CT_ALLC_002;CT_ALLC_003;CT_ALLC_RA_001
structures/block_refcount.md,3,1,2,0,CT_BKRC_001;CT_BKRC_RA_001;CT_BKRC_RA_002
structures/container_index.md,1,0,1,0,CT_CNTX_001
structures/integrity_state.md,0,0,0,0,
structures/parent_child_table.md,2,0,2,0,FS_PCHL_001;FS_PCTB_RA_001
structures/trash_table.md,1,0,1,0,CT_MISC_002
structures/security_descriptors.md,4,0,4,0,FS_SECD_RA_001;FS_SECD_RA_002;FS_SECD_RA_003;MD_SECT_001
structures/system_oids.md,23,1,22,0,FN_OPEN_SA_001;FS_OTBL_001;FS_OTBL_002;FS_OTBL_003;FS_OTBL_004;FS_OTBL_005;FS_OTBL_RA_001;FS_OTBL_RA_002;FS_OTBL_RA_003;FS_OTBL_RA_004;FS_OTBL_RA_005;FS_OTBL_RA_006;FS_OTBL_RA_007;FS_OTBL_SA_001;FS_OTBL_SA_002;FS_OTBL_SA_003;FS_OTBL_SA_004;FS_OTBL_SA_005;FS_OTBL_SA_006;FS_OTBL_SA_007;FS_OTBL_SA_008;FS_OTBL_SA_009;FS_OTBL_SA_010
structures/reparse_points.md,2,0,2,0,FS_REPS_RA_001;FS_REPS_RA_002
structures/volume_info.md,12,4,8,0,MD_DISK_RA_003;MD_DISK_RA_004;MD_DISK_RA_006;MD_DISK_RA_008;MD_DISK_RA_009;MD_FTBL_001;MD_FTBL_002;MD_FTBL_003;MD_FTBL_004;MD_FTBL_005;MD_FTBL_006;MD_FTBL_007
attributes/STANDARD_INFORMATION.md,28,8,20,0,MD_ATTR_RA_001;MD_ATTR_RA_002;MD_ATTR_RA_003;MD_ATTR_RA_004;MD_SI_RA_001;MD_SI_RA_002;MD_SI_RA_003;MD_SI_RA_004;MD_SI_RA_005;MD_SI_RA_006;MD_SI_RA_007;MD_SI_RA_008;MD_SI_RA_009;MD_SI_RA_010;MD_SI_RA_011;MD_SI_RA_012;MD_SI_RA_013;MD_SI_RA_014;MD_SI_RA_015;MD_SI_SA_001;MD_SI_SA_002;MD_SNAP_RA_007;MD_TS_RA_001;MD_TS_RA_002;MD_TS_RA_003;MD_TS_RA_004;MD_TS_RA_005;MD_TS_RA_006
concepts/standard_information.md,28,8,20,0,MD_ATTR_RA_001;MD_ATTR_RA_002;MD_ATTR_RA_003;MD_ATTR_RA_004;MD_SI_RA_001;MD_SI_RA_002;MD_SI_RA_003;MD_SI_RA_004;MD_SI_RA_005;MD_SI_RA_006;MD_SI_RA_007;MD_SI_RA_008;MD_SI_RA_009;MD_SI_RA_010;MD_SI_RA_011;MD_SI_RA_012;MD_SI_RA_013;MD_SI_RA_014;MD_SI_RA_015;MD_SI_SA_001;MD_SI_SA_002;MD_SNAP_RA_007;MD_TS_RA_001;MD_TS_RA_002;MD_TS_RA_003;MD_TS_RA_004;MD_TS_RA_005;MD_TS_RA_006
attributes/EFS.md,3,0,3,0,MD_EFS_RA_001;MD_EFS_RA_002;MD_EFS_RA_003
attributes/CBW4.md,3,0,3,0,MD_EFS_RA_001;MD_EFS_RA_002;MD_EFS_RA_003
attributes/EA_INFORMATION.md,18,9,9,0,MD_ATTR_RA_009;MD_ATTR_RA_010;MD_ATTR_RA_011;MD_ATTR_RA_012;MD_ATTR_RA_013;MD_ATTR_RA_014;MD_ATTR_RA_015;MD_ATTR_RA_016;MD_ATTR_RA_017;MD_DATA_RA_008;MD_DATA_RA_009;MD_DATA_RA_010;MD_EFS_RA_004;MD_EFS_RA_005;MD_LK_RA_008;MD_LK_RA_009;MD_SNAP_RA_006;MD_USN_RA_004
attributes/SNAPSHOT.md,4,0,4,0,MD_SNAP_RA_001;MD_SNAP_RA_002;MD_SNAP_RA_003;MD_SNAP_RA_004
attributes/OBJ_LINK.md,7,0,7,0,MD_LK_RA_001;MD_LK_RA_002;MD_LK_RA_003;MD_LK_RA_004;MD_LK_RA_005;MD_LK_RA_006;MD_LK_RA_007
attributes/REPARSE_POINT.md,2,0,2,0,FS_REPS_RA_001;FS_REPS_RA_002
attributes/DATA.md,6,1,4,1,MD_DATA_RA_001;MD_DATA_RA_002;MD_DATA_RA_003;MD_DATA_RA_004;MD_DATA_RA_005;MD_DATA_RA_006
attributes/FILE_NAME.md,0,0,0,0,
concepts/redundancy.md,0,0,0,0,
concepts/compression.md,3,0,3,0,CT_COMP_RA_001;CT_COMP_RA_002;GN_COMP_SA_001
concepts/deletion_recovery.md,3,0,3,0,MD_DEL_RA_001;MD_DEL_RA_002;MD_DEL_RA_003
concepts/version_evolution.md,5,0,5,0,MD_DISK_RA_003;MD_DISK_RA_004;MD_DISK_RA_006;MD_DISK_RA_008;MD_DISK_RA_009
