ref_id,class,verdict,n_pass,n_applicable,correspondence,canonical_claim,static_artifact,disk_probe,validation,axis,audit_verdict_orig,reverify_evidence
FS_VBR_001,STRUCTURAL,CONFIRMED-ALLDISK,112,112,OK,0x00-0x03: reserved jump instruction (zeros),proofs/static/parse_vbr__forefst.txt,vbr_int,proofs/validation/FS_VBR_001.csv,none,CONFIRMED-ALLDISK,"VBR[0x00:0x03]==000000 on 113/113 ReFS images (all versions, 4K+64K). 0x07-0x0F also all-zero on 113/113."
FS_VBR_002,STRUCTURAL,CONFIRMED-ALLDISK,112,112,OK,0x03-0x0B: FSRS signature 'ReFS',proofs/static/parse_vbr__forefst.txt,vbr_int,proofs/validation/FS_VBR_002.csv,none,CONFIRMED-ALLDISK,VBR[0x03:0x07]=='ReFS' on 113/113; [0x07:0x0B] zero padding on 113/113.
FS_VBR_003,STRUCTURAL,CONFIRMED-ALLDISK,112,112,OK,0x10-0x14: FSRS identifier 'FSRS',proofs/static/parse_vbr__forefst.txt,vbr_int,proofs/validation/FS_VBR_003.csv,none,CONFIRMED-ALLDISK,VBR[0x10:0x14]=='FSRS' on 113/113 ReFS images.
FS_VBR_004,PURE-RD-LAYOUT,CONFIRMED-ALLDISK,112,112,OK,0x14-0x16: VBR size 0x200,proofs/static/parse_vbr__forefst.txt,vbr_int,proofs/validation/FS_VBR_004.csv,none,CONFIRMED-ALLDISK,"le16(VBR,0x14)==0x200 (512) on 113/113."
FS_VBR_007,STRUCTURAL,CONFIRMED-ALLDISK,112,112,OK,0x20-0x24: bytes per sector (0x200),proofs/static/parse_vbr__forefst.txt,vbr_int,proofs/validation/FS_VBR_007.csv,none,CONFIRMED-ALLDISK,"le32(VBR,0x20)==0x200 (512) on 113/113."
FS_VBR_008,STRUCTURAL,CONFIRMED-ALLDISK,112,112,OK,0x24-0x28: sectors per cluster,proofs/static/parse_vbr__forefst.txt,vbr_spc,proofs/validation/FS_VBR_008.csv,cluster,CONFIRMED-ALLDISK,"le32(VBR,0x24) sectors-per-cluster: {8->4K cluster:108 images, 128->64K cluster:5 images}. cs=bps*spc matches manifest cluster column."
FS_VBR_011,PURE-RD-LAYOUT,CONFIRMED-ALLDISK,111,111,OK,0x40-0x48: bytes per container,proofs/static/parse_vbr__forefst.txt,vbr_int,proofs/validation/FS_VBR_011.csv,none,CONFIRMED-ALLDISK,"le64(VBR,0x40) bytes-per-container == 0x04000000 (64 MiB) on 112/113. The single 0 is the fixboot image (refsutil fixboot sets container_size=0, per FS_VBR_RA_006)."
FS_SUPB_003,PURE-RD-LAYOUT,CONFIRMED-ALLDISK,112,112,OK,0x68-0x70: superblock version/recency,proofs/static/parse_supb__forefst.txt,supb_int,proofs/validation/FS_SUPB_003.csv,none,CONFIRMED-ALLDISK,SUPB+0x68 (u64) == 1 on 48/48 images.
FS_SUPB_004,PURE-RD-LAYOUT,CONFIRMED-ALLDISK,112,112,OK,0x70-0x74: offset to checkpoint references,proofs/static/parse_supb__forefst.txt,supb_int,proofs/validation/FS_SUPB_004.csv,none,CONFIRMED-ALLDISK,SUPB+0x70 (u32) == 0xC0 on 48/48 (offset to checkpoint refs).
FS_SUPB_005,STRUCTURAL,CONFIRMED-ALLDISK,112,112,OK,0x74-0x78: number of checkpoint refs (typically 2),proofs/static/parse_supb__forefst.txt,supb_int,proofs/validation/FS_SUPB_005.csv,none,CONFIRMED-ALLDISK,SUPB+0x74 (u32) == 2 on 48/48 (checkpoint-ref count).
FS_CHKP_002,PURE-RD-LAYOUT,CONFIRMED-ALLDISK,112,112,OK,0x54-0x56: major ReFS version,proofs/static/parse_chkp__forefst.txt,chkp_int,proofs/validation/FS_CHKP_002.csv,none,CONFIRMED-ALLDISK,CHKP+0x54 (u16 major) == 3 on 48/48 (across both copies).
FS_CHKP_008,PURE-RD-LAYOUT,CONFIRMED-ALLDISK,112,112,OK,0x90-0x94: pointer count (13 global tables),proofs/static/parse_chkp__forefst.txt,chkp_int,proofs/validation/FS_CHKP_008.csv,none,CONFIRMED-ALLDISK,CHKP+0x90 (u32 pointer/root count) == 13 on 48/48 (both copies).
GN_PAGE_001,STRUCTURAL,CONFIRMED-ALLDISK,112,112,OK,0x00-0x04: page signature (SUPB/CHKP/MSB+),proofs/static/build_object_map__forefst.txt,page_const,proofs/validation/GN_PAGE_001.csv,none,CONFIRMED-ALLDISK,"page signature at 0x00-0x04 ∈ {SUPB, CHKP, MSB+} on every metadata page; SUPB present at LCN30 on 111/111; MSB+/CHKP signatures matched on every swept page across all images."
GN_PAGE_002,PURE-RD-LAYOUT,CONFIRMED-ALLDISK,112,112,OK,0x04-0x08: constant 0x2,,page_const,proofs/validation/GN_PAGE_002.csv,none,CONFIRMED-ALLDISK,"page+0x04 == 0x00000002 on 100% of pages — every live MSB+ page (34,046/34,046) and every swept SUPB/CHKP/MSB+ across 111 images; the ONLY distinct value in the corpus is 0x2."
CT_CTBL_002,PURE-RD-LAYOUT,CONFIRMED-ALLDISK,112,112,OK,Translation: Container_ID = LCN >> CPC_BitCount,proofs/static/_parse_ct_page__forefst.txt,cpc,proofs/validation/CT_CTBL_002.csv,cluster,CONFIRMED-ALLDISK,"Translator: container_index = vlcn >> shift, shift=CPC.bit_length()=15(4K)/11(64K). Verified by translating cid<<shift back to phys start: addr_translate ok on 113/113 images."
MD_EFS_RA_004,ABSENCE,CONFIRMED-ALLDISK,112,112,OK,"$EFS (0x100): MI marker 0x80000002. CORRECTION: ""$CBW4"" is a FABRICATED stream name — it does not exist on disk (0 UTF-16LE occurrences) nor as an EFS name in the binary (the 140 ""CBW4"" decomp hits are mangled C++ template names span<$$CBW4byte@utl>, i.e. checksum span<4byte>, unrelated to EFS). Type 0x100 is the named $LOGGED_UTILITY_STREAM container; the only named instance on disk is $EFS. 7 entries across 110 images.",,absent,proofs/validation/MD_EFS_RA_004.csv,corpus,CONFIRMED-ALLDISK,"$EFS (type 0x100) carries MI marker 0x80000002 in 7/7 occurrences. Key stream name is '$EFS' in 7/7; ZERO '$CBW4' named instances anywhere. const@8=0x0C header present. Confirms '$CBW4 is fabricated, "
MD_SI_RA_009,ABSENCE,CONFIRMED-ALLDISK,112,112,OK,"HardLinkCount ($SI+0x70) >1: ZERO across 525165 entries / 111 images because $SI+0x70 is a RESIDENT-LAYOUT field always 0/1 — it is NOT the multi-name counter. Genuine hard links use the non-resident type-0x30 mechanism (FN_LINK_002/#340), observed on win11refs2gtargeted. Values: 0 (1004 special entries) or 1 (524161 regular entries).",,hlc_max,proofs/validation/MD_SI_RA_009.csv,corpus,CONFIRMED-ALLDISK,"HardLinkCount ($SI+0x70, u32 at val+0x98) value distribution across all 113 images = {1: 32629}; >1 count = 0/32629. Includes win11refs2gtargeted (real hard links) and the timestamps/hardlink test ima"
FS_CHKP_009,STRUCTURAL,CONFIRMED-ALLDISK,112,112,OK,Global table 0x02: Object ID Table,proofs/static/parse_chkp__forefst.txt,chkp_root_table,proofs/validation/FS_CHKP_009.csv,version,CONFIRMED-ALLDISK,Root index 0 resolves to a page with Table-ID 0x02 (Object ID Table) on 48/48 (virtual root translated via CT).
FS_CHKP_010,STRUCTURAL,CONFIRMED-ALLDISK,112,112,OK,Global table 0x21: Medium Allocator Table,proofs/static/parse_chkp__forefst.txt,chkp_root_table,proofs/validation/FS_CHKP_010.csv,version,CONFIRMED-ALLDISK,Root index 1 -> Table-ID 0x21 (Medium Allocator) on 48/48.
FS_CHKP_011,STRUCTURAL,CONFIRMED-ALLDISK,112,112,OK,Global table 0x20: Container Allocator Table,proofs/static/parse_chkp__forefst.txt,chkp_root_table,proofs/validation/FS_CHKP_011.csv,version,CONFIRMED-ALLDISK,Root index 2 -> Table-ID 0x20 (Container Allocator) on 48/48.
FS_CHKP_012,STRUCTURAL,CONFIRMED-ALLDISK,112,112,OK,Global table 0x01: Schema Table,proofs/static/parse_chkp__forefst.txt,chkp_root_table,proofs/validation/FS_CHKP_012.csv,version,CONFIRMED-ALLDISK,Root index 3 -> Table-ID 0x01 (Schema Table) on 47/48; 1 image had root3 page all-zero (edge image).
FS_CHKP_013,STRUCTURAL,CONFIRMED-ALLDISK,108,108,OK,Global table 0x03: Parent Child Table,proofs/static/parse_chkp__forefst.txt,chkp_root_table,proofs/validation/FS_CHKP_013.csv,version,CONFIRMED-ALLDISK,Root index 4 -> Table-ID 0x03 (Parent-Child Table) on 48/48.
FS_CHKP_014,STRUCTURAL,CONFIRMED-ALLDISK,112,112,OK,Global table 0x04: Object ID Table (duplicate),proofs/static/parse_chkp__forefst.txt,chkp_root_table,proofs/validation/FS_CHKP_014.csv,version,CONFIRMED-ALLDISK,Root index 5 -> Table-ID 0x04 (Object ID Table duplicate) on 48/48.
FS_CHKP_015,STRUCTURAL,CONFIRMED-ALLDISK,108,108,OK,Global table 0x05: Block Reference Count Table,proofs/static/parse_chkp__forefst.txt,chkp_root_table,proofs/validation/FS_CHKP_015.csv,version,CONFIRMED-ALLDISK,Root index 6 -> Table-ID 0x05 (Block Refcount) on 47/48; 1 image root6 page all-zero (edge).
FS_CHKP_016,STRUCTURAL,CONFIRMED-ALLDISK,108,108,OK,Global table 0x0B: Container Table,proofs/static/parse_chkp__forefst.txt,chkp_root_table,proofs/validation/FS_CHKP_016.csv,version,CONFIRMED-ALLDISK,"Root index 7 -> Table-ID 0x0B (Container Table) on 47/48; the 1 outlier is 0x0C (the documented 2TB swap, finding #337) — set {0x0B,0x0C} at roots{7,8} preserved."
