ref_id,artifact,artifact_type,locus_type,locus,note
FS_VBR_001,proofs/static/parse_vbr__forefst.txt,static,function,parse_vbr,
FS_VBR_001,proofs/validation/FS_VBR_001.csv,matrix,all-rows,,
FS_VBR_002,proofs/static/parse_vbr__forefst.txt,static,function,parse_vbr,
FS_VBR_002,proofs/validation/FS_VBR_002.csv,matrix,all-rows,,
FS_VBR_003,proofs/static/parse_vbr__forefst.txt,static,function,parse_vbr,
FS_VBR_003,proofs/validation/FS_VBR_003.csv,matrix,all-rows,,
FS_VBR_004,proofs/static/parse_vbr__forefst.txt,static,function,parse_vbr,
FS_VBR_004,proofs/validation/FS_VBR_004.csv,matrix,all-rows,,
FS_VBR_007,proofs/static/parse_vbr__forefst.txt,static,function,parse_vbr,
FS_VBR_007,proofs/validation/FS_VBR_007.csv,matrix,all-rows,,
FS_VBR_008,proofs/static/parse_vbr__forefst.txt,static,function,parse_vbr,
FS_VBR_008,proofs/validation/FS_VBR_008.csv,matrix,all-rows,,
FS_VBR_011,proofs/static/parse_vbr__forefst.txt,static,function,parse_vbr,
FS_VBR_011,proofs/validation/FS_VBR_011.csv,matrix,all-rows,,
FS_SUPB_003,proofs/static/parse_supb__forefst.txt,static,function,parse_supb,
FS_SUPB_003,proofs/validation/FS_SUPB_003.csv,matrix,all-rows,,
FS_SUPB_004,proofs/static/parse_supb__forefst.txt,static,function,parse_supb,
FS_SUPB_004,proofs/validation/FS_SUPB_004.csv,matrix,all-rows,,
FS_SUPB_005,proofs/static/parse_supb__forefst.txt,static,function,parse_supb,
FS_SUPB_005,proofs/validation/FS_SUPB_005.csv,matrix,all-rows,,
FS_CHKP_002,proofs/static/parse_chkp__forefst.txt,static,function,parse_chkp,
FS_CHKP_002,proofs/validation/FS_CHKP_002.csv,matrix,all-rows,,
FS_CHKP_008,proofs/static/parse_chkp__forefst.txt,static,function,parse_chkp,
FS_CHKP_008,proofs/validation/FS_CHKP_008.csv,matrix,all-rows,,
GN_PAGE_001,proofs/static/build_object_map__forefst.txt,static,function,build_object_map,
GN_PAGE_001,proofs/validation/GN_PAGE_001.csv,matrix,all-rows,,
GN_PAGE_002,proofs/validation/GN_PAGE_002.csv,matrix,all-rows,,
CT_CTBL_002,proofs/static/_parse_ct_page__forefst.txt,static,function,_parse_ct_page,
CT_CTBL_002,proofs/validation/CT_CTBL_002.csv,matrix,all-rows,,
MD_EFS_RA_004,proofs/validation/MD_EFS_RA_004.csv,matrix,all-rows,,
MD_SI_RA_009,proofs/validation/MD_SI_RA_009.csv,matrix,all-rows,,
FS_CHKP_009,proofs/static/parse_chkp__forefst.txt,static,function,parse_chkp,
FS_CHKP_009,proofs/validation/FS_CHKP_009.csv,matrix,all-rows,,
FS_CHKP_010,proofs/static/parse_chkp__forefst.txt,static,function,parse_chkp,
FS_CHKP_010,proofs/validation/FS_CHKP_010.csv,matrix,all-rows,,
FS_CHKP_011,proofs/static/parse_chkp__forefst.txt,static,function,parse_chkp,
FS_CHKP_011,proofs/validation/FS_CHKP_011.csv,matrix,all-rows,,
FS_CHKP_012,proofs/static/parse_chkp__forefst.txt,static,function,parse_chkp,
FS_CHKP_012,proofs/validation/FS_CHKP_012.csv,matrix,all-rows,,
FS_CHKP_013,proofs/static/parse_chkp__forefst.txt,static,function,parse_chkp,
FS_CHKP_013,proofs/validation/FS_CHKP_013.csv,matrix,all-rows,,
FS_CHKP_014,proofs/static/parse_chkp__forefst.txt,static,function,parse_chkp,
FS_CHKP_014,proofs/validation/FS_CHKP_014.csv,matrix,all-rows,,
FS_CHKP_015,proofs/static/parse_chkp__forefst.txt,static,function,parse_chkp,
FS_CHKP_015,proofs/validation/FS_CHKP_015.csv,matrix,all-rows,,
FS_CHKP_016,proofs/static/parse_chkp__forefst.txt,static,function,parse_chkp,
FS_CHKP_016,proofs/validation/FS_CHKP_016.csv,matrix,all-rows,,
FS_CHKP_017,proofs/static/parse_chkp__forefst.txt,static,function,parse_chkp,
FS_CHKP_017,proofs/validation/FS_CHKP_017.csv,matrix,all-rows,,
FS_CHKP_018,proofs/static/parse_chkp__forefst.txt,static,function,parse_chkp,
