ObjectRef,FullPath,FileName,Extension,FileSize,Created,Modified,Changed,Accessed,ParentPath,ParentOID,CreationDir,HomeOID,FileID,USN,FileAttributes,SecurityId,OwnerSid,GroupSid,DACLSummary,HasADS,ADSNames,RecordPlacement,DataResidency,IsResident,IsDirectory,IsEncrypted,IsCompressed,HasIntegrity,HasEA,HardLinkCount,HardLinkNames,SnapshotCount,SnapshotNames,ReparseTag,ReparseTarget,IsSparse,AllocatedSize,InternalFlags,IsMoved,TimestompFlags
0x701,System Volume Information,System Volume Information,,0,2026-05-16 16:50:46.1357572,2026-05-16 16:50:55.4710672,2026-05-16 16:50:55.4710672,2026-05-16 16:50:55.4710672,.,0x600,,,,,Hidden|System|Directory_Internal,4473461602,BUILTIN\Administrators (S-1-5-32-544),SYSTEM (S-1-5-18),1 ACE(s): ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL,False,,,,False,True,False,False,False,False,,,,,,,False,,,False,
0x701:0x110,System Volume Information/FVE2.{8252fd17-a486-4ad4-b1ca-f4fe64d23218},FVE2.{8252fd17-a486-4ad4-b1ca-f4fe64d23218},,0,2026-05-16 16:50:53.5841843,2026-05-16 16:50:53.5841843,2026-05-16 16:50:53.5841843,2026-05-16 16:50:53.5841843,System Volume Information,0x701,System Volume Information,0x701,0x110,,Hidden|System|Archive,4473197922,BUILTIN\Administrators (S-1-5-32-544),SYSTEM (S-1-5-18),1 ACE(s): ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL,False,,embedded,inline,True,False,False,False,False,False,1,,,,,,False,0,,False,
0x701:0x13,System Volume Information/WPSettings.dat,WPSettings.dat,.dat,12,2026-05-16 16:50:46.3202119,2026-05-16 16:50:46.3251276,2026-05-16 16:50:46.3251276,2026-05-16 16:50:46.3251276,System Volume Information,0x701,System Volume Information,0x701,0x13,,Archive,4895999733,SYSTEM (S-1-5-18),SYSTEM (S-1-5-18),1 ACE(s): ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL,False,,embedded,inline,True,False,False,False,False,False,1,,,,,,False,16,,False,
0x702,test,test,,0,2026-05-16 16:51:49.6993045,2026-05-16 16:52:03.0244081,2026-05-16 16:52:03.0244081,2026-05-16 16:52:03.0704746,.,0x600,,,,,Directory_Internal,4831861536,BUILTIN\Administrators (S-1-5-32-544),Domain Users (S-1-5-21-3829591975-2821165226-2477612932-513),7 ACE(s): ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):GENERIC_ALL | ALLOWED:Authenticated Users (S-1-5-11):MODIFY | ALLOWED:Authenticated Users (S-1-5-11):DELETE|GENERIC_EXECUTE|GENERIC_WRITE|GENERIC_READ | ALLOWED:BUILTIN\Users (S-1-5-32-545):READ_EXECUTE | …,False,,,,False,True,False,False,False,False,,,,,,,False,,,False,
0x722,test/elvis_dir_index_149423,elvis_dir_index_149423,,0,2026-05-16 16:51:57.0348937,2026-05-16 16:52:02.6095468,2026-05-16 16:52:02.6095468,2026-05-16 16:52:03.0758554,test,0x702,,,,,Directory_Internal,4831861536,BUILTIN\Administrators (S-1-5-32-544),Domain Users (S-1-5-21-3829591975-2821165226-2477612932-513),7 ACE(s): ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):GENERIC_ALL | ALLOWED:Authenticated Users (S-1-5-11):MODIFY | ALLOWED:Authenticated Users (S-1-5-11):DELETE|GENERIC_EXECUTE|GENERIC_WRITE|GENERIC_READ | ALLOWED:BUILTIN\Users (S-1-5-32-545):READ_EXECUTE | …,False,,,,False,True,False,False,False,False,,,,,,,False,,,False,
0x72f,test/elvis_dir_index_149423/elvis_dir_victor_121923,elvis_dir_victor_121923,,0,2026-05-16 16:52:00.3281617,2026-05-16 16:52:03.0144080,2026-05-16 16:52:03.0144080,2026-05-16 16:52:03.0778536,test/elvis_dir_index_149423,0x722,,,,,Directory_Internal,4831861536,BUILTIN\Administrators (S-1-5-32-544),Domain Users (S-1-5-21-3829591975-2821165226-2477612932-513),7 ACE(s): ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):GENERIC_ALL | ALLOWED:Authenticated Users (S-1-5-11):MODIFY | ALLOWED:Authenticated Users (S-1-5-11):DELETE|GENERIC_EXECUTE|GENERIC_WRITE|GENERIC_READ | ALLOWED:BUILTIN\Users (S-1-5-32-545):READ_EXECUTE | …,False,,,,False,True,False,False,False,False,,,,,,,False,,,False,
0x730,test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324,elvis_dir_hotel_670324,,0,2026-05-16 16:52:00.5467169,2026-05-16 16:52:02.8195237,2026-05-16 16:52:02.8195237,2026-05-16 16:52:03.0788610,test/elvis_dir_index_149423/elvis_dir_victor_121923,0x72f,,,,,Directory_Internal,4831861536,BUILTIN\Administrators (S-1-5-32-544),Domain Users (S-1-5-21-3829591975-2821165226-2477612932-513),7 ACE(s): ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):GENERIC_ALL | ALLOWED:Authenticated Users (S-1-5-11):MODIFY | ALLOWED:Authenticated Users (S-1-5-11):DELETE|GENERIC_EXECUTE|GENERIC_WRITE|GENERIC_READ | ALLOWED:BUILTIN\Users (S-1-5-32-545):READ_EXECUTE | …,False,,,,False,True,False,False,False,False,,,,,,,False,,,False,
0x731,test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165,elvis_dir_output_358165,,0,2026-05-16 16:52:00.8159250,2026-05-16 16:52:02.3107323,2026-05-16 16:52:02.3107323,2026-05-16 16:52:02.3107323,test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324,0x730,,,,,Directory_Internal,4831861536,BUILTIN\Administrators (S-1-5-32-544),Domain Users (S-1-5-21-3829591975-2821165226-2477612932-513),7 ACE(s): ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):GENERIC_ALL | ALLOWED:Authenticated Users (S-1-5-11):MODIFY | ALLOWED:Authenticated Users (S-1-5-11):DELETE|GENERIC_EXECUTE|GENERIC_WRITE|GENERIC_READ | ALLOWED:BUILTIN\Users (S-1-5-32-545):READ_EXECUTE | …,False,,,,False,True,False,False,False,False,,,,,,,False,,,False,
0x72b,test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/elvis_dir_oscar_874075,elvis_dir_oscar_874075,,0,2026-05-16 16:51:59.3078929,2026-05-16 16:52:02.7687941,2026-05-16 16:52:02.7687941,2026-05-16 16:52:03.0808570,test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165,0x731,,,,,Directory_Internal,4831861536,BUILTIN\Administrators (S-1-5-32-544),Domain Users (S-1-5-21-3829591975-2821165226-2477612932-513),7 ACE(s): ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):GENERIC_ALL | ALLOWED:Authenticated Users (S-1-5-11):MODIFY | ALLOWED:Authenticated Users (S-1-5-11):DELETE|GENERIC_EXECUTE|GENERIC_WRITE|GENERIC_READ | ALLOWED:BUILTIN\Users (S-1-5-32-545):READ_EXECUTE | …,False,,,,False,True,False,False,False,False,,,,,,,False,,,False,
0x717:0x4,test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/elvis_dir_oscar_874075/xbpt_delta_victor_412034.ini,xbpt_delta_victor_412034.ini,.ini,209311,2026-05-16 16:51:54.5161670,2026-05-16 16:51:55.3235831,2026-05-16 16:51:59.8982393,2026-05-16 16:51:55.3235831,test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/elvis_dir_oscar_874075,0x72b,test/elvis_dir_victor_783323,0x717,0x4,,Archive,5176748164,BUILTIN\Administrators (S-1-5-32-544),Domain Users (S-1-5-21-3829591975-2821165226-2477612932-513),4 ACE(s): ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL | ALLOWED:Authenticated Users (S-1-5-11):MODIFY | ALLOWED:BUILTIN\Users (S-1-5-32-545):READ_EXECUTE,False,,split,extents,False,False,False,False,False,False,1,,,,,,False,212992,,True,
