path,oid,confidence,signals,created,modified,changed,accessed
test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/xbpt_zulu_india_473528.csv,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2024-08-03 07:17:33,2024-08-03 07:17:33,2026-05-16 16:52:02,2024-08-03 07:17:33
test/elvis_dir_index_149423/elvis_dir_victor_121923/xbpt_whiskey_delta_922359.tmp,(non-res),HIGH,CHANGE_LATE|PRE_FORMAT,2024-11-23 07:17:31,2024-11-23 07:17:31,2026-05-16 16:52:02,2024-11-23 07:17:31
test/elvis_dir_index_149423/xbpt_beta_archive_985685.tmp,(non-res),HIGH,CHANGE_LATE|PRE_FORMAT,2023-11-27 07:16:30,2023-11-27 07:16:30,2026-05-16 16:51:58,2023-11-27 07:16:30
test/elvis_dir_index_149423/xbpt_zulu_kilo_319858.csv,(non-res),HIGH,CHANGE_LATE|PRE_FORMAT,2022-05-20 07:16:16,2022-05-20 07:16:16,2026-05-16 16:51:57,2022-05-20 07:16:16
test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_delta_echo_268401.csv,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2024-01-13 07:17:04,2024-01-13 07:17:04,2026-05-16 16:52:00,2024-01-13 07:17:04
test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_lima_victor_941030.cfg,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2025-07-16 07:17:35,2025-07-16 07:17:35,2026-05-16 16:52:02,2025-07-16 07:17:35
test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_temp_sierra_130629.tmp,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2022-02-07 07:16:33,2022-02-07 07:16:33,2026-05-16 16:51:56,2022-02-07 07:16:33
test/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_beta_984608/xbpt_cache_zulu_259753.dat,(non-res),HIGH,CHANGE_LATE|PRE_FORMAT,2026-03-01 07:16:07,2026-03-01 07:16:07,2026-05-16 16:52:00,2026-03-01 07:16:07
test/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_beta_984608/xbpt_delta_temp_981764.tmp,(non-res),HIGH,CHANGE_LATE|PRE_FORMAT,2023-08-26 07:16:12,2023-08-26 07:16:12,2026-05-16 16:51:52,2023-08-26 07:16:12
test/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_record_901264/xbpt_audit_config_255291.dat,(non-res),HIGH,CHANGE_LATE|PRE_FORMAT,2021-10-19 07:16:21,2021-10-19 07:16:21,2026-05-16 16:51:56,2021-10-19 07:16:21
test/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_record_901264/xbpt_zulu_trace_481495.md,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2024-06-07 07:17:11,2024-06-07 07:17:11,2026-05-16 16:52:00,2024-06-07 07:17:11
test/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/xbpt_backup_echo_585708.csv,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2022-06-17 07:16:38,2022-06-17 07:16:38,2026-05-16 16:51:57,2022-06-17 07:16:38
test/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/xbpt_romeo_output_531365.cfg,(non-res),HIGH,PRE_FORMAT|HARDLINK_MACB_MISMATCH,2022-08-02 07:16:28,2026-05-16 16:51:56,2026-05-16 16:51:56,2026-05-16 16:51:56
