OID,FileName,FullPath,FileSize,Extension,ParentPath,ParentOID,Created,Modified,Changed,Accessed,FileRef,CreationDir,HomeOID,FileID,USN,FileAttributes,SecurityId,OwnerSid,GroupSid,DACLSummary,HasADS,ADSNames,IsResident,IsDirectory,IsEncrypted,IsCompressed,HasIntegrity,HasEA,HardLinkCount,HardLinkNames,SnapshotCount,SnapshotNames,ReparseTag,ReparseTarget,IsSparse,AllocatedSize,InternalFlags,IsMoved,TimestompFlags
0x701,System Volume Information,System Volume Information,0,,.,0x600,2026-05-16 16:30:39.6691455,2026-05-16 16:30:50.4243312,2026-05-16 16:30:50.4243312,2026-05-16 16:30:50.4243312,,,,,,Hidden|System|Directory_Internal,4473461602,BUILTIN\Administrators (S-1-5-32-544),SYSTEM (S-1-5-18),1 ACE(s): ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL,False,,False,True,False,False,False,False,,,,,,,False,,,False,
,FVE2.{8252fd17-a486-4ad4-b1ca-f4fe64d23218},System Volume Information/FVE2.{8252fd17-a486-4ad4-b1ca-f4fe64d23218},0,,System Volume Information,0x701,2026-05-16 16:30:49.2451752,2026-05-16 16:30:49.2451752,2026-05-16 16:30:49.2451752,2026-05-16 16:30:49.2451752,0x701:0x111,System Volume Information,0x701,0x111,,Hidden|System|Archive,4473197922,BUILTIN\Administrators (S-1-5-32-544),SYSTEM (S-1-5-18),1 ACE(s): ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL,False,,True,False,False,False,False,False,,,,,,,False,0,,False,
,IndexerVolumeGuid,System Volume Information/IndexerVolumeGuid,76,,System Volume Information,0x701,2026-05-16 16:30:39.6711720,2026-05-16 16:30:39.6711720,2026-05-16 16:30:39.6711720,2026-05-16 16:30:39.6711720,0x701:0x2,System Volume Information,0x701,0x2,,Archive,4895999733,SYSTEM (S-1-5-18),SYSTEM (S-1-5-18),1 ACE(s): ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL,False,,True,False,False,False,False,False,,,,,,,False,80,,False,
,WPSettings.dat,System Volume Information/WPSettings.dat,12,.dat,System Volume Information,0x701,2026-05-16 16:30:39.6731834,2026-05-16 16:30:39.6789715,2026-05-16 16:30:39.6789715,2026-05-16 16:30:39.6789715,0x701:0x3,System Volume Information,0x701,0x3,,Archive,4895999733,SYSTEM (S-1-5-18),SYSTEM (S-1-5-18),1 ACE(s): ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL,False,,True,False,False,False,False,False,,,,,,,False,16,,False,
0x7e5,test,test,0,,.,0x600,2026-05-16 16:41:25.5474358,2026-05-16 16:41:35.0489831,2026-05-16 16:41:35.0489831,2026-05-16 16:41:35.0926356,,,,,,Directory_Internal,4831861536,BUILTIN\Administrators (S-1-5-32-544),Domain Users (S-1-5-21-3829591975-2821165226-2477612932-513),7 ACE(s): ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):GENERIC_ALL | ALLOWED:Authenticated Users (S-1-5-11):MODIFY | ALLOWED:Authenticated Users (S-1-5-11):DELETE|GENERIC_EXECUTE|GENERIC_WRITE|GENERIC_READ | ALLOWED:BUILTIN\Users (S-1-5-32-545):READ_EXECUTE | …,False,,False,True,False,False,False,False,,,,,,,False,,,False,
0x805,elvis_dir_index_149423,test/elvis_dir_index_149423,0,,test,0x7e5,2026-05-16 16:41:30.8837287,2026-05-16 16:41:34.6749662,2026-05-16 16:41:34.6749662,2026-05-16 16:41:35.0966808,,,,,,Directory_Internal,4831861536,BUILTIN\Administrators (S-1-5-32-544),Domain Users (S-1-5-21-3829591975-2821165226-2477612932-513),7 ACE(s): ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):GENERIC_ALL | ALLOWED:Authenticated Users (S-1-5-11):MODIFY | ALLOWED:Authenticated Users (S-1-5-11):DELETE|GENERIC_EXECUTE|GENERIC_WRITE|GENERIC_READ | ALLOWED:BUILTIN\Users (S-1-5-32-545):READ_EXECUTE | …,False,,False,True,False,False,False,False,,,,,,,False,,,False,
0x812,elvis_dir_victor_121923,test/elvis_dir_index_149423/elvis_dir_victor_121923,0,,test/elvis_dir_index_149423,0x805,2026-05-16 16:41:33.0328922,2026-05-16 16:41:35.0330527,2026-05-16 16:41:35.0330527,2026-05-16 16:41:35.1004753,,,,,,Directory_Internal,4831861536,BUILTIN\Administrators (S-1-5-32-544),Domain Users (S-1-5-21-3829591975-2821165226-2477612932-513),7 ACE(s): ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):GENERIC_ALL | ALLOWED:Authenticated Users (S-1-5-11):MODIFY | ALLOWED:Authenticated Users (S-1-5-11):DELETE|GENERIC_EXECUTE|GENERIC_WRITE|GENERIC_READ | ALLOWED:BUILTIN\Users (S-1-5-32-545):READ_EXECUTE | …,False,,False,True,False,False,False,False,,,,,,,False,,,False,
0x813,elvis_dir_hotel_670324,test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324,0,,test/elvis_dir_index_149423/elvis_dir_victor_121923,0x812,2026-05-16 16:41:33.2396804,2026-05-16 16:41:34.8740188,2026-05-16 16:41:34.8740188,2026-05-16 16:41:35.1024948,,,,,,Directory_Internal,4831861536,BUILTIN\Administrators (S-1-5-32-544),Domain Users (S-1-5-21-3829591975-2821165226-2477612932-513),7 ACE(s): ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):GENERIC_ALL | ALLOWED:Authenticated Users (S-1-5-11):MODIFY | ALLOWED:Authenticated Users (S-1-5-11):DELETE|GENERIC_EXECUTE|GENERIC_WRITE|GENERIC_READ | ALLOWED:BUILTIN\Users (S-1-5-32-545):READ_EXECUTE | …,False,,False,True,False,False,False,False,,,,,,,False,,,False,
0x814,elvis_dir_output_358165,test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165,0,,test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324,0x813,2026-05-16 16:41:33.3695408,2026-05-16 16:41:34.4262307,2026-05-16 16:41:34.4262307,2026-05-16 16:41:34.4262307,,,,,,Directory_Internal,4831861536,BUILTIN\Administrators (S-1-5-32-544),Domain Users (S-1-5-21-3829591975-2821165226-2477612932-513),7 ACE(s): ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):GENERIC_ALL | ALLOWED:Authenticated Users (S-1-5-11):MODIFY | ALLOWED:Authenticated Users (S-1-5-11):DELETE|GENERIC_EXECUTE|GENERIC_WRITE|GENERIC_READ | ALLOWED:BUILTIN\Users (S-1-5-32-545):READ_EXECUTE | …,False,,False,True,False,False,False,False,,,,,,,False,,,False,
0x80e,elvis_dir_oscar_874075,test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/elvis_dir_oscar_874075,0,,test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165,0x814,2026-05-16 16:41:32.3491827,2026-05-16 16:41:34.7765866,2026-05-16 16:41:34.7765866,2026-05-16 16:41:35.1045212,,,,,,Directory_Internal,4831861536,BUILTIN\Administrators (S-1-5-32-544),Domain Users (S-1-5-21-3829591975-2821165226-2477612932-513),7 ACE(s): ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):GENERIC_ALL | ALLOWED:Authenticated Users (S-1-5-11):MODIFY | ALLOWED:Authenticated Users (S-1-5-11):DELETE|GENERIC_EXECUTE|GENERIC_WRITE|GENERIC_READ | ALLOWED:BUILTIN\Users (S-1-5-32-545):READ_EXECUTE | …,False,,False,True,False,False,False,False,,,,,,,False,,,False,
