seq,timestamp,action,path,name,oid,opcodes,record_count,plcn
1,2026-05-16T16:30:38.033Z,MODIFY,,,,UPDATE_ROW,1,32769
2,2026-05-16T16:30:39.371Z,WRITE,/,,0x600,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW,3,32770
3,,INSERT,,,,INSERT_ROW SET_PARENT_ID,2,32772
4,2026-05-16T16:30:38.033Z,MODIFY,,,,UPDATE_ROW,1,32774
5,,MODIFY,,,,UPDATE_ROW,1,32775
6,2026-05-16T16:30:39.669Z,CREATE,/System Volume Information,System Volume Information,0x701,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32777
7,2026-05-16T16:30:41.383Z,CREATE,/System Volume Information,FVE2.{e40ad34d-dae9-4bc7-95bd-b16218c10f72}.1,0x701,INSERT_ROW INSERT_ROW SET_OBJECT ALLOCATE UPDATE_STREAM UPDATE_DATA_WITH,6,32785
8,,MODIFY,/System Volume Information,,0x701,FREE,1,32788
9,2026-05-16T16:30:41.388Z,CREATE,/System Volume Information,FVE2.{e40ad34d-dae9-4bc7-95bd-b16218c10f72}.2,0x701,INSERT_ROW INSERT_ROW SET_OBJECT ALLOCATE UPDATE_STREAM UPDATE_DATA_WITH,6,32789
10,,MODIFY,/System Volume Information,,0x701,FREE,1,32792
11,,MODIFY,/System Volume Information,,0x701,FREE,1,32795
12,,STREAM_UPD,/System Volume Information,,0x701,UPDATE_STREAM,1,32796
13,,STREAM_UPD,/System Volume Information,,0x701,UPDATE_STREAM,1,32798
14,,MODIFY,/System Volume Information,,0x701,FREE,1,32802
15,,MODIFY,/System Volume Information,,0x701,FREE,1,32805
16,,MODIFY,/System Volume Information,,0x701,FREE,1,32808
17,,MODIFY,/System Volume Information,,0x701,FREE,1,32811
18,,MODIFY,/System Volume Information,,0x701,FREE,1,32814
19,,MODIFY,/System Volume Information,,0x701,FREE,1,32817
20,,MODIFY,/System Volume Information,,0x701,FREE,1,32820
21,,MODIFY,/System Volume Information,,0x701,FREE,1,32823
22,,MODIFY,/System Volume Information,,0x701,FREE,1,32826
23,,MODIFY,/System Volume Information,,0x701,FREE,1,32829
24,,MODIFY,/System Volume Information,,0x701,FREE,1,32832
25,,MODIFY,/System Volume Information,,0x701,FREE,1,32835
26,,MODIFY,/System Volume Information,,0x701,FREE,1,32838
27,,MODIFY,/System Volume Information,,0x701,FREE,1,32841
28,,MODIFY,/System Volume Information,,0x701,FREE,1,32844
29,,MODIFY,/System Volume Information,,0x701,FREE,1,32847
30,,MODIFY,/System Volume Information,,0x701,FREE,1,32850
31,,MODIFY,/System Volume Information,,0x701,FREE,1,32853
32,,MODIFY,/System Volume Information,,0x701,FREE,1,32856
33,,MODIFY,/System Volume Information,,0x701,FREE,1,32859
34,,MODIFY,/System Volume Information,,0x701,FREE,1,32862
35,,MODIFY,/System Volume Information,,0x701,FREE,1,32865
36,,MODIFY,/System Volume Information,,0x701,FREE,1,32868
37,,MODIFY,/System Volume Information,,0x701,FREE,1,32871
38,,MODIFY,/System Volume Information,,0x701,FREE,1,32874
39,,MODIFY,/System Volume Information,,0x701,FREE,1,32877
40,,MODIFY,/System Volume Information,,0x701,FREE,1,32880
41,,MODIFY,/System Volume Information,,0x701,FREE,1,32883
42,,MODIFY,/System Volume Information,,0x701,FREE,1,32886
43,,MODIFY,/System Volume Information,,0x701,FREE,1,32889
44,,MODIFY,/System Volume Information,,0x701,FREE,1,32892
45,,MODIFY,/System Volume Information,,0x701,FREE,1,32895
46,,MODIFY,/System Volume Information,,0x701,FREE,1,32898
47,,MODIFY,/System Volume Information,,0x701,FREE,1,32901
48,,MODIFY,/System Volume Information,,0x701,FREE,1,32904
49,,MODIFY,/System Volume Information,,0x701,FREE,1,32907
50,,MODIFY,/System Volume Information,,0x701,FREE,1,32910
51,,MODIFY,/System Volume Information,,0x701,FREE,1,32913
52,,MODIFY,/System Volume Information,,0x701,FREE,1,32916
53,,MODIFY,/System Volume Information,,0x701,FREE,1,32919
54,,MODIFY,/System Volume Information,,0x701,FREE,1,32922
55,,MODIFY,/System Volume Information,,0x701,FREE,1,32925
56,,MODIFY,/System Volume Information,,0x701,FREE,1,32928
57,,MODIFY,/System Volume Information,,0x701,FREE,1,32931
58,,MODIFY,/System Volume Information,,0x701,FREE,1,32934
59,,MODIFY,/System Volume Information,,0x701,FREE,1,32937
60,,MODIFY,/System Volume Information,,0x701,FREE,1,32940
61,,MODIFY,/System Volume Information,,0x701,FREE,1,32943
62,,MODIFY,/System Volume Information,,0x701,FREE,1,32946
63,,MODIFY,/System Volume Information,,0x701,FREE,1,32949
64,,MODIFY,/System Volume Information,,0x701,FREE,1,32952
65,,MODIFY,/System Volume Information,,0x701,FREE,1,32955
66,,MODIFY,/System Volume Information,,0x701,FREE,1,32958
67,,MODIFY,/System Volume Information,,0x701,FREE,1,32961
68,,MODIFY,/System Volume Information,,0x701,FREE,1,32964
69,,MODIFY,/System Volume Information,,0x701,FREE,1,32967
70,,MODIFY,/System Volume Information,,0x701,FREE,1,32970
71,,MODIFY,/System Volume Information,,0x701,FREE,1,32973
72,,MODIFY,/System Volume Information,,0x701,FREE,1,32976
73,,MODIFY,/System Volume Information,,0x701,FREE,1,32979
74,,MODIFY,/System Volume Information,,0x701,FREE,1,32982
75,,MODIFY,/System Volume Information,,0x701,FREE,1,32985
