# forefst win11refs2tspecials.raw specials reparse
# ----------------------------------------------------------------------------

── reparse  (508) — symlinks / junctions / WSL links ──
  TAG                        TARGET                                   PATH
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\test\xbpt_foxtrot_india_714766.ini    test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_zulu_984398/elvis_dir_cache_558805/xbpt_symlink_gamma_582874.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\test\elvis_dir_log_202031\elvis_dir_record_340186\elvis_dir_gamma_109016\elvis_dir_config_541148\xbpt_index_zulu_828859.bak test/xbpt_symlink_hotel_632659.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\test\xbpt_yankee_audit_433793.xml     test/xbpt_symlink_output_831744.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\testspecials\dir_lima_342873\dir_archive_409111\dir_victor_676301\symlink_zulu_334450.lnk testspecials/dir_gamma_163068/dir_alpha_598099/dir_index_953906/hardlink_sync_683343.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\testspecials\dir_gamma_163068\dir_echo_659970\hardlink_lima_237877.lnk testspecials/dir_gamma_163068/dir_alpha_598099/dir_trace_251622/symlink_data_516669.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\testspecials\dir_lima_342873\dir_yankee_391369\symlink_cache_897060.lnk testspecials/dir_gamma_163068/dir_alpha_598099/dir_trace_251622/symlink_hotel_394885.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\testspecials\dir_gamma_163068\dir_echo_659970\dir_cache_507104\oscar_uniform_727619.lnk testspecials/dir_gamma_163068/dir_alpha_598099/dir_trace_251622/symlink_output_403147.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\testspecials\dir_kilo_659195\dir_archive_409111\dir_romeo_975581\symlink_india_845383.lnk testspecials/dir_gamma_163068/dir_alpha_598099/hardlink_mike_847533.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\testspecials\dir_lima_342873\dir_archive_409111\dir_config_134078\symlink_lima_207932.lnk testspecials/dir_gamma_163068/dir_alpha_598099/hardlink_output_626240.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\testspecials\dir_gamma_163068\dir_echo_659970\dir_cache_507104\archive_draft_584891.csv testspecials/dir_gamma_163068/dir_alpha_598099/symlink_alpha_302926.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\testspecials\dir_gamma_163068\dir_echo_659970\dir_cache_507104\dir_yankee_391369\dir_config_947995\beta_lima_133526.xml testspecials/dir_gamma_163068/dir_alpha_598099/symlink_backup_374908.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\testspecials\dir_gamma_163068\dir_echo_659970\dir_cache_507104\dir_archive_409111\dir_romeo_975581\symlink_kilo_639983.lnk testspecials/dir_gamma_163068/dir_config_495144/dir_quebec_465938/symlink_sierra_761056.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\testspecials\dir_lima_342873\dir_archive_409111\dir_victor_676301\hardlink_cache_174893.bin testspecials/dir_gamma_163068/dir_config_495144/hardlink_tango_983687.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\testspecials\dir_uniform_544837\dir_output_654155\dir_config_531397\hardlink_tango_446105.xml testspecials/dir_gamma_163068/dir_config_495144/symlink_archive_481962.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\testspecials\dir_kilo_659195\dir_archive_409111\dir_victor_893234\symlink_foxtrot_254926.lnk testspecials/dir_gamma_163068/dir_echo_659970/dir_cache_507104/cache_beta_922615.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\testspecials\dir_lima_342873\dir_config_356395\symlink_audit_305752.lnk testspecials/dir_gamma_163068/dir_echo_659970/dir_cache_507104/dir_archive_409111/dir_romeo_975581/hardlink_alpha_523977.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\testspecials\dir_lima_342873\dir_india_623599\dir_index_446416\india_index_571205.bin testspecials/dir_gamma_163068/dir_echo_659970/dir_cache_507104/dir_archive_409111/dir_romeo_975581/hardlink_papa_858656.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\testspecials\dir_lima_342873\dir_archive_409111\symlink_record_329460.lnk testspecials/dir_gamma_163068/dir_echo_659970/dir_cache_507104/dir_archive_409111/dir_romeo_975581/symlink_foxtrot_698630.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\testspecials\dir_kilo_659195\dir_archive_409111\dir_victor_676301\hardlink_whiskey_222537.lnk testspecials/dir_gamma_163068/dir_echo_659970/dir_cache_507104/dir_archive_409111/dir_romeo_975581/symlink_kilo_639983.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\testspecials\dir_lima_342873\dir_archive_409111\dir_romeo_975581\output_india_449169.md testspecials/dir_gamma_163068/dir_echo_659970/dir_cache_507104/dir_archive_409111/dir_romeo_975581/symlink_sierra_999524.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\testspecials\dir_kilo_659195\dir_archive_409111\dir_config_134078\hardlink_cache_210740.lnk testspecials/dir_gamma_163068/dir_echo_659970/dir_cache_507104/dir_archive_409111/dir_romeo_975581/symlink_trace_678820.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\testspecials\draft_uniform_166420.txt testspecials/dir_gamma_163068/dir_echo_659970/dir_cache_507104/dir_archive_409111/hardlink_papa_887644.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\testspecials\foxtrot_romeo_101133.csv testspecials/dir_gamma_163068/dir_echo_659970/dir_cache_507104/dir_archive_409111/hardlink_yankee_725332.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\testspecials\dir_lima_342873\yankee_romeo_767149.bak testspecials/dir_gamma_163068/dir_echo_659970/dir_cache_507104/dir_archive_409111/symlink_audit_479963.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\testspecials\dir_lima_342873\dir_yankee_391369\symlink_foxtrot_254926.lnk testspecials/dir_gamma_163068/dir_echo_659970/dir_cache_507104/dir_archive_409111/symlink_lima_478054.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\testspecials\dir_foxtrot_946233\dir_archive_409111\dir_victor_676301\yankee_backup_463169.bak testspecials/dir_gamma_163068/dir_echo_659970/dir_cache_507104/dir_archive_409111/symlink_record_329460.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\testspecials\dir_november_947335\hardlink_beta_859345.lnk testspecials/dir_gamma_163068/dir_echo_659970/dir_cache_507104/dir_archive_409111/symlink_whiskey_950291.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\testspecials\draft_uniform_166420.txt testspecials/dir_gamma_163068/dir_echo_659970/dir_cache_507104/dir_archive_409111/symlink_yankee_956806.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) j:\testspecials\dir_kilo_659195\dir_config_356395\hardlink_lima_619070.bak testspecials/dir_gamma_163068/dir_echo_659970/dir_cache_507104/dir_beta_159096/mike_record_340390.lnk
