==============================================================================
ReFS Directory Tree
==============================================================================
  Image:           win11refs2tspecials.raw
  ReFS version:    3.14
  Cluster size:    0x1000
  Objects:         230
  Start OID:       0x600
  Start name:      Root Directory

  Total entries:   1550 (217 directories, 1333 files, 109 ADS)

  Type  OID          Attrs            Size Modified             Path
  ----------------------------------------------------------------------------------------------------
  DIR   0x701        Hidden|System|Directory            2026-05-16 16:30:50  System Volume Information
  FILE  (resident)   Hidden|System|Archive          0 2026-05-16 16:30:49  System Volume Information/FVE2.{8252fd17-a486-4ad4-b1ca-f4fe64d23218}
  FILE  (resident)   Archive            76 2026-05-16 16:30:39  System Volume Information/IndexerVolumeGuid
  FILE  (resident)   Archive            12 2026-05-16 16:30:39  System Volume Information/WPSettings.dat
  DIR   0x7e5        Directory             2026-05-16 16:41:35  test
  DIR   0x805        Directory             2026-05-16 16:41:34  test/elvis_dir_index_149423
  DIR   0x812        Directory             2026-05-16 16:41:35  test/elvis_dir_index_149423/elvis_dir_victor_121923
  DIR   0x813        Directory             2026-05-16 16:41:34  test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324
  DIR   0x814        Directory             2026-05-16 16:41:34  test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165
  DIR   0x80e        Directory             2026-05-16 16:41:34  test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/elvis_dir_oscar_874075
  FILE  (non-res)    Archive        209311 2026-05-16 16:41:29  test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/elvis_dir_oscar_874075/xbpt_delta_victor_412034.ini
  FILE  (non-res)    Archive        507770 2026-05-16 16:41:32  test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/elvis_dir_oscar_874075/xbpt_zulu_mike_340372.cfg
  FILE  (non-res)    Archive        520031 2026-05-16 16:41:33  test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/xbpt_audit_echo_178867.tmp
  FILE  (non-res)    Archive        264326 2026-05-16 16:41:33  test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/xbpt_log_foxtrot_796125.ini
