==============================================================================
ReFS MLog Analysis — win11refs2tspecials.raw
ReFS v3.14 | cluster_size=0x1000 | objects=230
==============================================================================

==============================================================================
MLog Control Area
==============================================================================
  Control PLCN:      0x30
  Signature:         MLog
  Format magic:      0x6dfbad7b (per-volume const, NOT a CRC — E42/#343; differs after a reformat)
  Version:           1
  Sector size:       0x1000
  UUID:              525a042c-58aa-4cca-a4f2-125f8bebb05f
  Sequence:          69
  Write counter:     2
  Flags:             0x1
  Total entries:     0
  Generation:        4995
  Data area:         0x8000 - 0x48000 (262144 clusters)
  LSN oldest:        0x1383.1
  Dispatch table:    v3.14 (44 opcodes)

==============================================================================
Data Area Summary
==============================================================================
  Total pages:       262144
  zero                 257150  ( 98.1%)
  MLog                   4994  (  1.9%)

==============================================================================
Redo Records
==============================================================================
  Total records:      7223
  Transaction starts: 2666
  Transaction commits: 0

     #  Opcode  Name                                             OID   Flags   Size
  ────  ──────  ────────────────────────────────────────  ──────────  ──────  ─────
     0  0x0003  RedoUpdateRow                                    0x2       S    568
     1  0x0000  OpenTableFromTablePath                           0x2       S     96
     2  0x0010  CmsBPlusTable::SetObjectRecordPayload            0x2       —     72
     3  0x0001  RedoInsertRow                                    0x2       —    752
     4  0x0001  RedoInsertRow                                    0x2       S    312
     5  0x000e  RedoSetParentId                                  0x2       —    120
     6  0x0003  RedoUpdateRow                                    0x3       S    568
     7  0x0003  RedoUpdateRow                                    0x9       S    160
     8  0x0000  OpenTableFromTablePath                           0xa       S     96
     9  0x0010  CmsBPlusTable::SetObjectRecordPayload            0xa       —     72
    10  0x0001  RedoInsertRow                                    0xa       —    752
    11  0x0001  RedoInsertRow                                    0xa       —    344
    12  0x0001  RedoInsertRow                                    0xa       —    272
    13  0x0001  RedoInsertRow                                    0xa       —    288
    14  0x0001  RedoInsertRow                                   0x11       S   1040
    15  0x0001  RedoInsertRow                                   0x11       —    232
    16  0x0010  CmsBPlusTable::SetObjectRecordPayload           0x11       —     72
    17  0x0006  RedoAllocate                                    0x11       —    328
    18  0x001f  RedoUpdateStreamSummary                         0x11       —    120
    19  0x0004  RedoUpdateDataWithRoot                          0x11       —    352
    20  0x0007  RedoFree                                        0x11       S    328
