==============================================================================
ReFS Object ID Table
==============================================================================
  Image:            win11refs2tspecials.raw
  Partition start:  0x1000000
  Cluster size:     0x1000
  ReFS version:     3.14
  CPC:              0x4000 (shift=15)
  Container entries:32767
  OID Table root:   [0x11610, 0x11611, 0x11612, 0x11613]
  OID Table phys:   [0x1610, 0x1611, 0x1612, 0x1613]

Total objects: 230

  OID      Name                             Root LCN Physical LCN    Sig Extra
  ----------------------------------------------------------------------------
  0x7      Upcase Table                      0x10050         0x50   MSB+      
  0x8      Upcase Table (dup)                0x1004c         0x4c   MSB+      
  0x9      Logfile Information Table         0x100a8         0xa8   MSB+      
  0xa      Logfile Information (dup)         0x100a4         0xa4   MSB+      
  0xd      Trash Table                       0x100ac         0xac   MSB+      
  0x30     Session Activity Table            0x1240c       0x240c   MSB+      
  0x500    Volume Information                0x11600       0x1600   MSB+      
  0x501    Volume Information (dup)          0x10e00        0xe00   MSB+      
  0x520    FS Metadata                       0x12600       0x2600   MSB+    +8
  0x530    Security Descriptor Stream        0x13a00       0x3a00   MSB+      
  0x540    Reparse Point Index               0x10a20        0xa20   MSB+      
  0x541    Reparse Point Index (dup)         0x11234       0x1234   MSB+      
  0x600    Root Directory                    0x12008       0x2008   MSB+    +8
  0x701    Directory/File (0x701)            0x13818       0x3818   MSB+    +8
  0x702    Directory/File (0x702)            0x1360c       0x360c   MSB+    +8
  0x703    Directory/File (0x703)            0x11608       0x1608   MSB+    +8
  0x704    Directory/File (0x704)            0x12e2c       0x2e2c   MSB+    +8
  0x705    Directory/File (0x705)            0x13c0c       0x3c0c   MSB+    +8
  0x707    Directory/File (0x707)            0x10220        0x220   MSB+    +8
  0x708    Directory/File (0x708)            0x11418       0x1418   MSB+    +8
  0x709    Directory/File (0x709)            0x13434       0x3434   MSB+    +8
  0x70b    Directory/File (0x70b)            0x12414       0x2414   MSB+    +8
  0x70c    Directory/File (0x70c)            0x11e1c       0x1e1c   MSB+    +8
  0x70d    Directory/File (0x70d)            0x11420       0x1420   MSB+    +8
  0x70e    Directory/File (0x70e)            0x11e04       0x1e04   MSB+    +8
  0x712    Directory/File (0x712)            0x11208       0x1208   MSB+    +8
  0x713    Directory/File (0x713)            0x10c14        0xc14   MSB+    +8
  0x714    Directory/File (0x714)            0x13008       0x3008   MSB+    +8
  0x716    Directory/File (0x716)            0x13210       0x3210   MSB+    +8
  0x717    Directory/File (0x717)            0x13204       0x3204   MSB+    +8
  0x718    Directory/File (0x718)            0x1300c       0x300c   MSB+    +8
  0x719    Directory/File (0x719)            0x11018       0x1018   MSB+    +8
  0x71a    Directory/File (0x71a)            0x1381c       0x381c   MSB+    +8
  0x71b    Directory/File (0x71b)            0x11a08       0x1a08   MSB+    +8
  0x71d    Directory/File (0x71d)            0x13224       0x3224   MSB+    +8
  0x71e    Directory/File (0x71e)            0x1380c       0x380c   MSB+    +8
  0x71f    Directory/File (0x71f)            0x13208       0x3208   MSB+    +8
  0x720    Directory/File (0x720)            0x10404        0x404   MSB+    +8
  0x722    Directory/File (0x722)            0x11a2c       0x1a2c   MSB+    +8
  0x723    Directory/File (0x723)            0x13218       0x3218   MSB+    +8
  0x724    Directory/File (0x724)            0x11a04       0x1a04   MSB+    +8
  0x725    Directory/File (0x725)            0x100b4         0xb4   MSB+    +8
  0x726    Directory/File (0x726)            0x13c00       0x3c00   MSB+    +8
  0x727    Directory/File (0x727)            0x10c20        0xc20   MSB+    +8
  0x728    Directory/File (0x728)            0x10810        0x810   MSB+    +8
  0x72b    Directory/File (0x72b)            0x13e10       0x3e10   MSB+    +8
  0x72d    Directory/File (0x72d)            0x13408       0x3408   MSB+    +8
  0x72e    Directory/File (0x72e)            0x1080c        0x80c   MSB+    +8
  0x72f    Directory/File (0x72f)            0x11438       0x1438   MSB+    +8
  0x730    Directory/File (0x730)            0x10204        0x204   MSB+    +8
  0x734    Directory/File (0x734)            0x13e0c       0x3e0c   MSB+    +8
  0x737    Directory/File (0x737)            0x10610        0x610   MSB+    +8
  0x738    Directory/File (0x738)            0x11e08       0x1e08   MSB+    +8
  0x739    Directory/File (0x739)            0x11218       0x1218   MSB+    +8
  0x73b    Directory/File (0x73b)            0x12014       0x2014   MSB+    +8
  0x73c    Directory/File (0x73c)            0x12210       0x2210   MSB+    +8
  0x73e    Directory/File (0x73e)            0x13404       0x3404   MSB+    +8
  0x73f    Directory/File (0x73f)            0x12e30       0x2e30   MSB+    +8
  0x740    Directory/File (0x740)            0x13228       0x3228   MSB+    +8
  0x741    Directory/File (0x741)            0x12200       0x2200   MSB+    +8
  0x742    Directory/File (0x742)            0x13a14       0x3a14   MSB+    +8
  0x743    Directory/File (0x743)            0x10208        0x208   MSB+    +8
  0x744    Directory/File (0x744)            0x12e20       0x2e20   MSB+    +8
  0x745    Directory/File (0x745)            0x11808       0x1808   MSB+    +8
  0x746    Directory/File (0x746)            0x11a14       0x1a14   MSB+    +8
  0x748    Directory/File (0x748)            0x13200       0x3200   MSB+    +8
  0x749    Directory/File (0x749)            0x10410        0x410   MSB+    +8
  0x74a    Directory/File (0x74a)            0x100b0         0xb0   MSB+    +8
  0x74b    Directory/File (0x74b)            0x12e18       0x2e18   MSB+    +8
  0x74c    Directory/File (0x74c)            0x10a0c        0xa0c   MSB+    +8
  0x74d    Directory/File (0x74d)            0x13e1c       0x3e1c   MSB+    +8
  0x74e    Directory/File (0x74e)            0x12614       0x2614   MSB+    +8
  0x74f    Directory/File (0x74f)            0x10604        0x604   MSB+    +8
  0x750    Directory/File (0x750)            0x1302c       0x302c   MSB+    +8
  0x751    Directory/File (0x751)            0x1141c       0x141c   MSB+    +8
  0x753    Directory/File (0x753)            0x13620       0x3620   MSB+    +8
  0x755    Directory/File (0x755)            0x10c18        0xc18   MSB+    +8
  0x756    Directory/File (0x756)            0x11210       0x1210   MSB+    +8
  0x758    Directory/File (0x758)            0x11a18       0x1a18   MSB+    +8
  0x759    Directory/File (0x759)            0x10834        0x834   MSB+    +8
  0x75a    Directory/File (0x75a)            0x13014       0x3014   MSB+    +8
  0x75b    Directory/File (0x75b)            0x12c04       0x2c04   MSB+    +8
  0x75c    Directory/File (0x75c)            0x10824        0x824   MSB+    +8
  0x75d    Directory/File (0x75d)            0x10214        0x214   MSB+    +8
  0x75e    Directory/File (0x75e)            0x11c00       0x1c00   MSB+    +8
  0x75f    Directory/File (0x75f)            0x13828       0x3828   MSB+    +8
  0x760    Directory/File (0x760)            0x1040c        0x40c   MSB+    +8
  0x762    Directory/File (0x762)            0x1280c       0x280c   MSB+    +8
  0x763    Directory/File (0x763)            0x1081c        0x81c   MSB+    +8
  0x764    Directory/File (0x764)            0x11a0c       0x1a0c   MSB+    +8
  0x765    Directory/File (0x765)            0x10c0c        0xc0c   MSB+    +8
  0x767    Directory/File (0x767)            0x12400       0x2400   MSB+    +8
  0x768    Directory/File (0x768)            0x13834       0x3834   MSB+    +8
  0x769    Directory/File (0x769)            0x12e24       0x2e24   MSB+    +8
  0x76a    Directory/File (0x76a)            0x11a3c       0x1a3c   MSB+    +8
  0x76b    Directory/File (0x76b)            0x11a20       0x1a20   MSB+    +8
  0x76c    Directory/File (0x76c)            0x13c1c       0x3c1c   MSB+    +8
  0x76d    Directory/File (0x76d)            0x12e04       0x2e04   MSB+    +8
  0x76e    Directory/File (0x76e)            0x11200       0x1200   MSB+    +8
  0x76f    Directory/File (0x76f)            0x1361c       0x361c   MSB+    +8
  0x770    Directory/File (0x770)            0x11620       0x1620   MSB+    +8
  0x771    Directory/File (0x771)            0x10e04        0xe04   MSB+    +8
  0x772    Directory/File (0x772)            0x10c1c        0xc1c   MSB+    +8
