==============================================================================
ReFS Parent-Child Table
==============================================================================
  Image:            win11refs2tspecials.raw
  Partition start:  0x1000000
  Cluster size:     0x1000
  ReFS version:     3.14
  CPC:              0x4000 (shift=15)
  PC Table root:    [0x13604, 0x13605, 0x13606, 0x13607]
  PC Table phys:    [0x3604, 0x3605, 0x3606, 0x3607]
  Page signature:   MSB+

------------------------------------------------------------------------------
Parent-Child Relationships
------------------------------------------------------------------------------
  Total entries:      218
  Unique parents:     99
  Unique children:    218
  Unique OIDs:        219
  Tree roots:         0x600

  Parent         → Child            Parent Name               → Child Name
  ------------------------------------------------------------------------
  0x600          → 0x520            Root Directory            → FS Metadata
  0x600          → 0x701            Root Directory            → Dir/File (0x701)
  0x600          → 0x702            Root Directory            → Dir/File (0x702)
  0x600          → 0x775            Root Directory            → Dir/File (0x775)
  0x600          → 0x7e5            Root Directory            → Dir/File (0x7e5)
  0x702          → 0x709            Dir/File (0x702)          → Dir/File (0x709)
  0x702          → 0x716            Dir/File (0x702)          → Dir/File (0x716)
  0x702          → 0x72d            Dir/File (0x702)          → Dir/File (0x72d)
  0x702          → 0x75d            Dir/File (0x702)          → Dir/File (0x75d)
  0x702          → 0x75f            Dir/File (0x702)          → Dir/File (0x75f)
  0x703          → 0x704            Dir/File (0x703)          → Dir/File (0x704)
  0x703          → 0x705            Dir/File (0x703)          → Dir/File (0x705)
  0x703          → 0x707            Dir/File (0x703)          → Dir/File (0x707)
  0x703          → 0x70d            Dir/File (0x703)          → Dir/File (0x70d)
  0x703          → 0x714            Dir/File (0x703)          → Dir/File (0x714)
  0x703          → 0x718            Dir/File (0x703)          → Dir/File (0x718)
  0x703          → 0x722            Dir/File (0x703)          → Dir/File (0x722)
  0x703          → 0x727            Dir/File (0x703)          → Dir/File (0x727)
  0x703          → 0x738            Dir/File (0x703)          → Dir/File (0x738)
  0x703          → 0x74d            Dir/File (0x703)          → Dir/File (0x74d)
  0x703          → 0x74e            Dir/File (0x703)          → Dir/File (0x74e)
  0x704          → 0x70e            Dir/File (0x704)          → Dir/File (0x70e)
  0x705          → 0x713            Dir/File (0x705)          → Dir/File (0x713)
  0x705          → 0x71a            Dir/File (0x705)          → Dir/File (0x71a)
  0x705          → 0x723            Dir/File (0x705)          → Dir/File (0x723)
  0x707          → 0x70c            Dir/File (0x707)          → Dir/File (0x70c)
  0x707          → 0x71f            Dir/File (0x707)          → Dir/File (0x71f)
  0x708          → 0x712            Dir/File (0x708)          → Dir/File (0x712)
  0x708          → 0x724            Dir/File (0x708)          → Dir/File (0x724)
  0x709          → 0x719            Dir/File (0x709)          → Dir/File (0x719)
  0x709          → 0x726            Dir/File (0x709)          → Dir/File (0x726)
  0x709          → 0x72f            Dir/File (0x709)          → Dir/File (0x72f)
  0x709          → 0x740            Dir/File (0x709)          → Dir/File (0x740)
  0x709          → 0x74b            Dir/File (0x709)          → Dir/File (0x74b)
  0x709          → 0x75a            Dir/File (0x709)          → Dir/File (0x75a)
  0x70c          → 0x720            Dir/File (0x70c)          → Dir/File (0x720)
  0x70d          → 0x71b            Dir/File (0x70d)          → Dir/File (0x71b)
  0x70d          → 0x725            Dir/File (0x70d)          → Dir/File (0x725)
  0x70d          → 0x730            Dir/File (0x70d)          → Dir/File (0x730)
  0x70e          → 0x717            Dir/File (0x70e)          → Dir/File (0x717)
  0x70e          → 0x73e            Dir/File (0x70e)          → Dir/File (0x73e)
  0x713          → 0x71e            Dir/File (0x713)          → Dir/File (0x71e)
  0x714          → 0x708            Dir/File (0x714)          → Dir/File (0x708)
  0x714          → 0x70b            Dir/File (0x714)          → Dir/File (0x70b)
  0x714          → 0x744            Dir/File (0x714)          → Dir/File (0x744)
  0x716          → 0x72b            Dir/File (0x716)          → Dir/File (0x72b)
  0x716          → 0x734            Dir/File (0x716)          → Dir/File (0x734)
  0x716          → 0x764            Dir/File (0x716)          → Dir/File (0x764)
  0x716          → 0x769            Dir/File (0x716)          → Dir/File (0x769)
  0x718          → 0x741            Dir/File (0x718)          → Dir/File (0x741)
  0x718          → 0x749            Dir/File (0x718)          → Dir/File (0x749)
  0x719          → 0x71d            Dir/File (0x719)          → Dir/File (0x71d)
  0x719          → 0x73b            Dir/File (0x719)          → Dir/File (0x73b)
  0x719          → 0x743            Dir/File (0x719)          → Dir/File (0x743)
  0x71b          → 0x728            Dir/File (0x71b)          → Dir/File (0x728)
  0x71b          → 0x737            Dir/File (0x71b)          → Dir/File (0x737)
  0x726          → 0x768            Dir/File (0x726)          → Dir/File (0x768)
  0x726          → 0x76a            Dir/File (0x726)          → Dir/File (0x76a)
  0x726          → 0x76d            Dir/File (0x726)          → Dir/File (0x76d)
  0x727          → 0x745            Dir/File (0x727)          → Dir/File (0x745)
  0x72b          → 0x703            Dir/File (0x72b)          → Dir/File (0x703)
  0x72b          → 0x751            Dir/File (0x72b)          → Dir/File (0x751)
  0x72b          → 0x755            Dir/File (0x72b)          → Dir/File (0x755)
  0x72d          → 0x739            Dir/File (0x72d)          → Dir/File (0x739)
  0x72d          → 0x742            Dir/File (0x72d)          → Dir/File (0x742)
  0x72e          → 0x746            Dir/File (0x72e)          → Dir/File (0x746)
  0x72e          → 0x74a            Dir/File (0x72e)          → Dir/File (0x74a)
  0x734          → 0x73f            Dir/File (0x734)          → Dir/File (0x73f)
  0x734          → 0x75e            Dir/File (0x734)          → Dir/File (0x75e)
  0x738          → 0x762            Dir/File (0x738)          → Dir/File (0x762)
  0x738          → 0x763            Dir/File (0x738)          → Dir/File (0x763)
  0x739          → 0x756            Dir/File (0x739)          → Dir/File (0x756)
  0x73b          → 0x73c            Dir/File (0x73b)          → Dir/File (0x73c)
  0x73b          → 0x750            Dir/File (0x73b)          → Dir/File (0x750)
  0x73f          → 0x748            Dir/File (0x73f)          → Dir/File (0x748)
  0x73f          → 0x75c            Dir/File (0x73f)          → Dir/File (0x75c)
  0x740          → 0x74c            Dir/File (0x740)          → Dir/File (0x74c)
  0x740          → 0x759            Dir/File (0x740)          → Dir/File (0x759)
  0x740          → 0x76c            Dir/File (0x740)          → Dir/File (0x76c)
  0x742          → 0x753            Dir/File (0x742)          → Dir/File (0x753)
  0x74b          → 0x75b            Dir/File (0x74b)          → Dir/File (0x75b)
  0x74b          → 0x774            Dir/File (0x74b)          → Dir/File (0x774)
  0x74c          → 0x72e            Dir/File (0x74c)          → Dir/File (0x72e)
  0x74f          → 0x770            Dir/File (0x74f)          → Dir/File (0x770)
  0x753          → 0x758            Dir/File (0x753)          → Dir/File (0x758)
  0x755          → 0x767            Dir/File (0x755)          → Dir/File (0x767)
  0x75d          → 0x760            Dir/File (0x75d)          → Dir/File (0x760)
  0x75e          → 0x76e            Dir/File (0x75e)          → Dir/File (0x76e)
  0x75f          → 0x74f            Dir/File (0x75f)          → Dir/File (0x74f)
  0x75f          → 0x772            Dir/File (0x75f)          → Dir/File (0x772)
  0x764          → 0x765            Dir/File (0x764)          → Dir/File (0x765)
  0x765          → 0x771            Dir/File (0x765)          → Dir/File (0x771)
  0x768          → 0x76f            Dir/File (0x768)          → Dir/File (0x76f)
  0x769          → 0x76b            Dir/File (0x769)          → Dir/File (0x76b)
  0x76d          → 0x773            Dir/File (0x76d)          → Dir/File (0x773)
  0x775          → 0x776            Dir/File (0x775)          → Dir/File (0x776)
  0x775          → 0x779            Dir/File (0x775)          → Dir/File (0x779)
  0x775          → 0x781            Dir/File (0x775)          → Dir/File (0x781)
  0x775          → 0x79c            Dir/File (0x775)          → Dir/File (0x79c)
  0x775          → 0x7a2            Dir/File (0x775)          → Dir/File (0x7a2)
  0x775          → 0x7c6            Dir/File (0x775)          → Dir/File (0x7c6)
  0x775          → 0x7c9            Dir/File (0x775)          → Dir/File (0x7c9)
  0x776          → 0x78f            Dir/File (0x776)          → Dir/File (0x78f)
  0x776          → 0x7cb            Dir/File (0x776)          → Dir/File (0x7cb)
  0x777          → 0x778            Dir/File (0x777)          → Dir/File (0x778)
  0x777          → 0x782            Dir/File (0x777)          → Dir/File (0x782)
  0x777          → 0x789            Dir/File (0x777)          → Dir/File (0x789)
  0x777          → 0x78e            Dir/File (0x777)          → Dir/File (0x78e)
  0x777          → 0x7ac            Dir/File (0x777)          → Dir/File (0x7ac)
  0x777          → 0x7b4            Dir/File (0x777)          → Dir/File (0x7b4)
  0x777          → 0x7b8            Dir/File (0x777)          → Dir/File (0x7b8)
  0x777          → 0x7dc            Dir/File (0x777)          → Dir/File (0x7dc)
  0x779          → 0x78a            Dir/File (0x779)          → Dir/File (0x78a)
  0x779          → 0x78b            Dir/File (0x779)          → Dir/File (0x78b)
  0x779          → 0x7af            Dir/File (0x779)          → Dir/File (0x7af)
  0x779          → 0x7b3            Dir/File (0x779)          → Dir/File (0x7b3)
  0x779          → 0x7bd            Dir/File (0x779)          → Dir/File (0x7bd)
  0x779          → 0x7c3            Dir/File (0x779)          → Dir/File (0x7c3)
  0x779          → 0x7c7            Dir/File (0x779)          → Dir/File (0x7c7)
  0x77c          → 0x78d            Dir/File (0x77c)          → Dir/File (0x78d)
  0x77c          → 0x799            Dir/File (0x77c)          → Dir/File (0x799)
  0x77c          → 0x7a9            Dir/File (0x77c)          → Dir/File (0x7a9)
  0x77d          → 0x780            Dir/File (0x77d)          → Dir/File (0x780)
  0x77d          → 0x78c            Dir/File (0x77d)          → Dir/File (0x78c)
  0x77d          → 0x791            Dir/File (0x77d)          → Dir/File (0x791)
  0x77d          → 0x797            Dir/File (0x77d)          → Dir/File (0x797)
  0x77d          → 0x7a7            Dir/File (0x77d)          → Dir/File (0x7a7)
