ObjectRef,FullPath,FileName,Extension,FileSize,Created,Modified,Changed,Accessed,ParentPath,ParentOID,CreationDir,HomeOID,FileID,USN,FileAttributes,SecurityId,OwnerSid,GroupSid,DACLSummary,HasADS,ADSNames,RecordPlacement,DataResidency,IsResident,IsDirectory,IsEncrypted,IsCompressed,HasIntegrity,HasEA,HardLinkCount,HardLinkNames,SnapshotCount,SnapshotNames,ReparseTag,ReparseTarget,IsSparse,AllocatedSize,InternalFlags,IsMoved,TimestompFlags
0x705,$RECYCLE.BIN,$RECYCLE.BIN,.BIN,0,2026-05-23 06:26:31.4045649,2026-05-23 06:26:31.4045649,2026-05-23 06:26:31.4066942,2026-05-23 06:26:31.4045649,.,0x600,,,,,Hidden|System|Directory_Internal,4932010317,DomainUser (RID=1001) (S-1-5-21-3829591975-2821165226-2477612932-1001),Domain Users (S-1-5-21-3829591975-2821165226-2477612932-513),3 ACE(s): ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL | ALLOWED:BUILTIN\Users (S-1-5-32-545):READ_DATA|APPEND_DATA|READ_EA|EXECUTE|READ_ATTRIBUTES|WRITE_ATTRIBUTES|READ_CONTROL|SYNCHRONIZE,False,,,,False,True,False,False,False,False,,,,,,,False,,,False,
0x706,$RECYCLE.BIN/S-1-5-21-3829591975-2821165226-2477612932-1001,S-1-5-21-3829591975-2821165226-2477612932-1001,,0,2026-05-23 06:26:31.4066942,2026-05-23 06:26:31.4066942,2026-05-23 06:26:31.4066942,2026-05-23 06:26:31.4066942,$RECYCLE.BIN,0x705,,,,,Hidden|System|Directory_Internal,7913548152,DomainUser (RID=1001) (S-1-5-21-3829591975-2821165226-2477612932-1001),Domain Users (S-1-5-21-3829591975-2821165226-2477612932-513),3 ACE(s): ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL | ALLOWED:DomainUser (RID=1001) (S-1-5-21-3829591975-2821165226-2477612932-1001):FULL_CONTROL,False,,,,False,True,False,False,False,False,,,,,,,False,,,False,
0x706:0x2,$RECYCLE.BIN/S-1-5-21-3829591975-2821165226-2477612932-1001/desktop.ini,desktop.ini,.ini,129,2026-05-23 06:26:31.4066942,2026-05-23 06:26:31.4088216,2026-05-23 06:26:31.4088216,2026-05-23 07:57:47.8895545,$RECYCLE.BIN/S-1-5-21-3829591975-2821165226-2477612932-1001,0x706,$RECYCLE.BIN/S-1-5-21-3829591975-2821165226-2477612932-1001,0x706,0x2,,Hidden|System|Archive,4591707006,DomainUser (RID=1001) (S-1-5-21-3829591975-2821165226-2477612932-1001),Domain Users (S-1-5-21-3829591975-2821165226-2477612932-513),3 ACE(s): ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL | ALLOWED:DomainUser (RID=1001) (S-1-5-21-3829591975-2821165226-2477612932-1001):FULL_CONTROL,False,,embedded,inline,True,False,False,False,False,False,1,,,,,,False,129,,False,
0x701,System Volume Information,System Volume Information,,0,2026-05-23 06:04:52.4969713,2026-05-23 11:15:52.3435495,2026-05-23 11:15:52.3435495,2026-05-23 11:15:52.3435495,.,0x600,,,,,Hidden|System|Directory_Internal,4473461602,BUILTIN\Administrators (S-1-5-32-544),SYSTEM (S-1-5-18),1 ACE(s): ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL,False,,,,False,True,False,False,False,False,,,,,,,False,,,False,
0x703,System Volume Information/AadRecoveryPasswordDelete,AadRecoveryPasswordDelete,,0,2026-05-23 06:25:42.9327272,2026-05-23 06:25:42.9327272,2026-05-23 11:15:52.4162836,2026-05-23 11:15:52.4120493,System Volume Information,0x701,,,,1261568,Directory_Internal,5551675976,SYSTEM (S-1-5-18),SYSTEM (S-1-5-18),2 ACE(s): ALLOWED:BUILTIN\Administrators (S-1-5-32-544):WRITE_DATA | ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL,False,,,,False,True,False,False,False,False,,,,,,,False,,,False,
0x702,System Volume Information/ClientRecoveryPasswordRotation,ClientRecoveryPasswordRotation,,0,2026-05-23 06:25:42.9231094,2026-05-23 06:25:42.9231094,2026-05-23 06:25:42.9252425,2026-05-23 06:25:42.9252425,System Volume Information,0x701,,,,,Directory_Internal,4411493305,SYSTEM (S-1-5-18),SYSTEM (S-1-5-18),2 ACE(s): ALLOWED:Authenticated Users (S-1-5-11):WRITE_DATA | ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL,False,,,,False,True,False,False,False,False,,,,,,,False,,,False,
0x701:0x19,System Volume Information/FVE2.{8252fd17-a486-4ad4-b1ca-f4fe64d23218},FVE2.{8252fd17-a486-4ad4-b1ca-f4fe64d23218},,0,2026-05-23 06:32:43.5513329,2026-05-23 06:32:43.5513329,2026-05-23 06:32:43.5513329,2026-05-23 06:32:43.5513329,System Volume Information,0x701,System Volume Information,0x701,0x19,,Hidden|System|Archive,4473197922,BUILTIN\Administrators (S-1-5-32-544),SYSTEM (S-1-5-18),1 ACE(s): ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL,False,,embedded,inline,True,False,False,False,False,False,1,,,,,,False,0,,False,
0x704,System Volume Information/FveDecryptedVolumeFolder,FveDecryptedVolumeFolder,,0,2026-05-23 06:25:42.9327272,2026-05-23 06:25:42.9327272,2026-05-23 06:25:42.9327272,2026-05-23 06:25:42.9327272,System Volume Information,0x701,,,,,Directory_Internal,4895999925,SYSTEM (S-1-5-18),SYSTEM (S-1-5-18),1 ACE(s): ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL,False,,,,False,True,False,False,False,False,,,,,,,False,,,False,
0x701:0x18,System Volume Information/IndexerVolumeGuid,IndexerVolumeGuid,,76,2026-05-23 06:26:37.9902565,2026-05-23 06:26:37.9902565,2026-05-23 06:26:37.9902565,2026-05-23 06:26:37.9902565,System Volume Information,0x701,System Volume Information,0x701,0x18,,Archive,4895999733,SYSTEM (S-1-5-18),SYSTEM (S-1-5-18),1 ACE(s): ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL,False,,embedded,inline,True,False,False,False,False,False,1,,,,,,False,80,,False,
0x701:0x28,System Volume Information/MountPointManagerRemoteDatabase,MountPointManagerRemoteDatabase,,0,2026-05-23 11:15:52.3435495,2026-05-23 11:15:52.3435495,2026-05-23 11:15:52.3435495,2026-05-23 11:15:52.3435495,System Volume Information,0x701,System Volume Information,0x701,0x28,1261288,Hidden|System|Archive,4473197922,BUILTIN\Administrators (S-1-5-32-544),SYSTEM (S-1-5-18),1 ACE(s): ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL,False,,embedded,inline,True,False,False,False,False,False,1,,,,,,False,0,,False,
