seq,timestamp,action,path,name,oid,opcodes,record_count,plcn,image
1,2026-05-23T06:04:52.271Z,MODIFY,,,,UPDATE_ROW,1,32769,win11refstestmftecmd.raw
2,2026-05-23T06:04:52.428Z,WRITE,/,,0x600,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW,3,32770,win11refstestmftecmd.raw
3,,INSERT,,,,INSERT_ROW SET_PARENT_ID,2,32772,win11refstestmftecmd.raw
4,2026-05-23T06:04:52.271Z,MODIFY,,,,UPDATE_ROW,1,32775,win11refstestmftecmd.raw
5,,MODIFY,,,,UPDATE_ROW,1,32776,win11refstestmftecmd.raw
6,2026-05-23T06:04:52.496Z,CREATE,/System Volume Information,System Volume Information,0x701,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32778,win11refstestmftecmd.raw
7,,ENTRY_REMOVE,/System Volume Information,,0x701,DELETE_ROW,1,32780,win11refstestmftecmd.raw
8,,ALLOCATE,/System Volume Information,,0x701,ALLOCATE,1,32781,win11refstestmftecmd.raw
9,,MODIFY,/System Volume Information,,0x701,FREE,1,32783,win11refstestmftecmd.raw
10,,MODIFY,/System Volume Information,,0x701,FREE,1,32786,win11refstestmftecmd.raw
11,,MODIFY,/System Volume Information,,0x701,FREE,1,32789,win11refstestmftecmd.raw
12,,STREAM_UPD,/System Volume Information,,0x701,UPDATE_STREAM,1,32790,win11refstestmftecmd.raw
13,,STREAM_UPD,/System Volume Information,,0x701,UPDATE_STREAM,1,32792,win11refstestmftecmd.raw
14,,MODIFY,/System Volume Information,,0x701,FREE,1,32796,win11refstestmftecmd.raw
15,,MODIFY,/System Volume Information,,0x701,FREE,1,32799,win11refstestmftecmd.raw
16,,MODIFY,/System Volume Information,,0x701,FREE,1,32802,win11refstestmftecmd.raw
17,,MODIFY,/System Volume Information,,0x701,FREE,1,32805,win11refstestmftecmd.raw
18,,MODIFY,/System Volume Information,,0x701,FREE,1,32808,win11refstestmftecmd.raw
19,,MODIFY,/System Volume Information,,0x701,FREE,1,32811,win11refstestmftecmd.raw
20,,MODIFY,/System Volume Information,,0x701,FREE,1,32814,win11refstestmftecmd.raw
21,,MODIFY,/System Volume Information,,0x701,FREE,1,32817,win11refstestmftecmd.raw
22,,MODIFY,/System Volume Information,,0x701,FREE,1,32820,win11refstestmftecmd.raw
23,,MODIFY,/System Volume Information,,0x701,FREE,1,32823,win11refstestmftecmd.raw
24,,MODIFY,/System Volume Information,,0x701,FREE,1,32826,win11refstestmftecmd.raw
25,,MODIFY,/System Volume Information,,0x701,FREE,1,32829,win11refstestmftecmd.raw
26,,MODIFY,/System Volume Information,,0x701,FREE,1,32832,win11refstestmftecmd.raw
27,,MODIFY,/System Volume Information,,0x701,FREE,1,32835,win11refstestmftecmd.raw
28,,MODIFY,/System Volume Information,,0x701,FREE,1,32838,win11refstestmftecmd.raw
29,,MODIFY,/System Volume Information,,0x701,FREE,1,32841,win11refstestmftecmd.raw
30,,MODIFY,/System Volume Information,,0x701,FREE,1,32846,win11refstestmftecmd.raw
31,,DELETE,/System Volume Information,,0x701,DELETE_TABLE DELETE_ROW DELETE_ROW DELETE_TABLE,4,32847,win11refstestmftecmd.raw
32,,MODIFY,/System Volume Information,,0x701,FREE,1,32848,win11refstestmftecmd.raw
33,,MODIFY,/System Volume Information,,0x701,FREE,1,32849,win11refstestmftecmd.raw
34,,MODIFY,/System Volume Information,,0x701,FREE,1,32850,win11refstestmftecmd.raw
35,,MODIFY,/System Volume Information,,0x701,FREE,1,32851,win11refstestmftecmd.raw
36,,MODIFY,/System Volume Information,,0x701,FREE,1,32852,win11refstestmftecmd.raw
37,,MODIFY,/System Volume Information,,0x701,FREE,1,32853,win11refstestmftecmd.raw
38,,MODIFY,/System Volume Information,,0x701,FREE,1,32854,win11refstestmftecmd.raw
39,,MODIFY,/System Volume Information,,0x701,FREE,1,32855,win11refstestmftecmd.raw
40,,MODIFY,/System Volume Information,,0x701,FREE,1,32856,win11refstestmftecmd.raw
41,,MODIFY,/System Volume Information,,0x701,FREE,1,32857,win11refstestmftecmd.raw
42,,MODIFY,/System Volume Information,,0x701,FREE,1,32858,win11refstestmftecmd.raw
43,,MODIFY,/System Volume Information,,0x701,FREE,1,32859,win11refstestmftecmd.raw
44,,MODIFY,/System Volume Information,,0x701,FREE,1,32860,win11refstestmftecmd.raw
45,2026-05-23T06:04:52.271Z,MODIFY,,,,UPDATE_ROW,1,32861,win11refstestmftecmd.raw
46,2026-05-23T06:04:52.271Z,MODIFY,,,,UPDATE_ROW,1,32862,win11refstestmftecmd.raw
47,,STREAM_UPD,/System Volume Information,,0x701,UPDATE_STREAM,1,32863,win11refstestmftecmd.raw
48,2026-05-23T06:25:42.923Z,CREATE,/System Volume Information/ClientRecoveryPasswordRotation,ClientRecoveryPasswordRotation,0x702,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32872,win11refstestmftecmd.raw
49,2026-05-23T06:25:42.932Z,CREATE,/System Volume Information/AadRecoveryPasswordDelete,AadRecoveryPasswordDelete,0x703,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32874,win11refstestmftecmd.raw
50,2026-05-23T06:25:42.932Z,CREATE,/System Volume Information/FveDecryptedVolumeFolder,FveDecryptedVolumeFolder,0x704,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32875,win11refstestmftecmd.raw
51,2026-05-23T06:26:31.404Z,CREATE,/$RECYCLE.BIN,$RECYCLE.BIN,0x705,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,32877,win11refstestmftecmd.raw
52,,ENTRY_REMOVE,/$RECYCLE.BIN/S-1-5-21-3829591975-2821165226-2477612932-1001,,0x706,DELETE_ROW,1,32880,win11refstestmftecmd.raw
53,2026-05-23T06:04:52.271Z,MODIFY,,,,UPDATE_ROW,1,32884,win11refstestmftecmd.raw
54,2026-05-23T06:04:52.271Z,MODIFY,,,,UPDATE_ROW,1,32885,win11refstestmftecmd.raw
55,,STREAM_UPD,/System Volume Information,,0x701,UPDATE_STREAM,1,32886,win11refstestmftecmd.raw
56,2026-05-23T06:32:43.551Z,CREATE,/System Volume Information,FVE2.{8252fd17-a486-4ad4-b1ca-f4fe64d23218},0x701,INSERT_ROW INSERT_ROW SET_OBJECT,3,32896,win11refstestmftecmd.raw
57,2026-05-23T06:32:43.551Z,CREATE,/System Volume Information,FVE2.{93de4bce-e958-48b6-9fac-602d0294e5ef}.1,0x701,INSERT_ROW INSERT_ROW SET_OBJECT ALLOCATE UPDATE_STREAM UPDATE_DATA_WITH,6,32898,win11refstestmftecmd.raw
