# forefst win11refstestmftecmd.raw specials reparse
# ----------------------------------------------------------------------------

── reparse  (444) — symlinks / junctions / WSL links ──
  TAG                        TARGET                                   PATH
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\test\xbpt_foxtrot_india_714766.ini    test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_zulu_984398/elvis_dir_cache_558805/xbpt_symlink_gamma_582874.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\test\elvis_dir_log_202031\elvis_dir_record_340186\elvis_dir_gamma_109016\elvis_dir_config_541148\xbpt_index_zulu_828859.bak test/xbpt_symlink_hotel_632659.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\test\xbpt_yankee_audit_433793.xml     test/xbpt_symlink_output_831744.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\test2\xbpt_foxtrot_india_714766.ini   test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_zulu_984398/elvis_dir_cache_558805/xbpt_symlink_gamma_582874.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\test2\elvis_dir_log_202031\elvis_dir_record_340186\elvis_dir_gamma_109016\elvis_dir_config_541148\xbpt_index_zulu_828859.bak test2/xbpt_symlink_hotel_632659.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\test2\xbpt_yankee_audit_433793.xml    test2/xbpt_symlink_output_831744.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_gamma_333765\xbpt_india_sierra_627062.bak testintegrity/dir_backup_983023/dir_lima_860689/dir_output_274069/xbpt_hardlink_temp_854113.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_quebec_504972\dir_beta_248924\xbpt_symlink_record_114151.lnk testintegrity/dir_backup_983023/dir_lima_860689/dir_output_274069/xbpt_hardlink_trace_263121.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_gamma_404999\dir_whiskey_550421\dir_sierra_463915\dir_yankee_672946\dir_report_930793\xbpt_backup_trace_904139.log testintegrity/dir_backup_983023/dir_lima_860689/dir_output_274069/xbpt_symlink_lima_723776.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_draft_196876\dir_lima_228687\dir_india_641930\xbpt_hardlink_archive_775977.lnk testintegrity/dir_backup_983023/dir_lima_860689/dir_output_274069/xbpt_symlink_quebec_738449.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_draft_196876\dir_lima_228687\dir_kilo_987907\xbpt_hardlink_yankee_108900.bak testintegrity/dir_backup_983023/dir_lima_860689/dir_output_274069/xbpt_symlink_sierra_906226.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_gamma_404999\dir_whiskey_550421\dir_sierra_463915\xbpt_hardlink_whiskey_479738.lnk testintegrity/dir_backup_983023/dir_lima_860689/xbpt_symlink_alpha_720119.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_gamma_404999\dir_whiskey_550421\dir_sierra_463915\dir_yankee_672946\dir_uniform_914766\dir_quebec_957455\dir_victor_956392\xbpt_symlink_cache_827960.lnk testintegrity/dir_backup_983023/dir_lima_860689/xbpt_symlink_index_953360.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_gamma_333765\dir_zulu_845500\xbpt_audit_india_294476.md testintegrity/dir_backup_983023/xbpt_hardlink_draft_761999.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_foxtrot_302916\dir_report_930793\xbpt_config_backup_533618.json testintegrity/dir_backup_983023/xbpt_symlink_kilo_905448.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\xbpt_hardlink_yankee_518134.dat testintegrity/dir_gamma_404999/dir_mike_845145/dir_sierra_896134/xbpt_hardlink_oscar_835615.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_gamma_333765\dir_uniform_914766\xbpt_symlink_zulu_866308.lnk testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_kilo_863699/dir_output_967830/xbpt_hardlink_foxtrot_275487.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_foxtrot_302916\dir_uniform_914766\xbpt_temp_echo_636607.bak testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_kilo_863699/dir_zulu_312953/xbpt_symlink_delta_599276.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_gamma_404999\dir_record_907427\dir_hotel_928595\dir_kilo_987907\xbpt_trace_audit_194295.json testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_kilo_863699/dir_zulu_312953/xbpt_symlink_papa_414108.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_gamma_333765\dir_uniform_914766\xbpt_hardlink_cache_448049.lnk testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_kilo_863699/xbpt_backup_delta_895325.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_gamma_333765\dir_zulu_845500\xbpt_symlink_echo_566939.lnk testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_kilo_863699/xbpt_hardlink_gamma_853279.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_november_274328\dir_kilo_987907\xbpt_sierra_papa_493652.lnk testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_kilo_863699/xbpt_symlink_gamma_282164.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_tango_306249\xbpt_symlink_mike_445436.lnk testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_kilo_863699/xbpt_symlink_index_146693.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_foxtrot_302916\xbpt_november_report_153874.txt testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_oscar_342854/dir_archive_860003/dir_cache_496228/xbpt_hardlink_foxtrot_860971.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_report_583335\xbpt_hardlink_beta_447656.bak testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_oscar_342854/dir_archive_860003/dir_cache_496228/xbpt_symlink_output_486781.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_report_583335\dir_kilo_863699\xbpt_india_whiskey_111624.bak testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_oscar_342854/dir_archive_860003/dir_cache_496228/xbpt_symlink_quebec_918421.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_gamma_333765\dir_zulu_845500\xbpt_audit_india_294476.md testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_oscar_342854/dir_archive_860003/xbpt_archive_lima_326199.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\xbpt_foxtrot_kilo_188200.bin testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_oscar_342854/dir_archive_860003/xbpt_hardlink_sierra_998780.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_draft_196876\dir_alpha_208192\dir_yankee_687993\xbpt_hardlink_output_846987.lnk testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_oscar_342854/dir_archive_860003/xbpt_symlink_foxtrot_172455.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\xbpt_foxtrot_kilo_188200.bin testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_oscar_342854/dir_archive_860003/xbpt_symlink_mike_445004.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_gamma_333765\dir_zulu_845500\xbpt_delta_mike_801553.tmp testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_oscar_342854/dir_archive_860003/xbpt_symlink_uniform_926990.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_quebec_504972\dir_beta_248924\xbpt_beta_data_817933.dat testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_oscar_342854/dir_archive_860003/xbpt_symlink_whiskey_684286.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_gamma_333765\dir_echo_335275\xbpt_hardlink_trace_352790.tmp testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_oscar_342854/dir_archive_860003/xbpt_uniform_mike_361953.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_gamma_333765\dir_uniform_914766\xbpt_hardlink_whiskey_163996.lnk testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_oscar_342854/xbpt_hardlink_yankee_917045.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_draft_196876\dir_lima_228687\dir_kilo_987907\xbpt_echo_log_788132.txt testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_oscar_342854/xbpt_symlink_quebec_583144.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_gamma_333765\dir_zulu_845500\xbpt_audit_india_294476.md testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_report_930793/xbpt_hardlink_output_849867.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_romeo_329630\xbpt_hardlink_index_906427.json testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_report_930793/xbpt_hardlink_yankee_853715.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_backup_645744\dir_kilo_987907\xbpt_symlink_trace_866671.lnk testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_report_930793/xbpt_symlink_index_831305.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_foxtrot_302916\dir_beta_758689\xbpt_hardlink_temp_636663.tmp testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_report_930793/xbpt_symlink_yankee_703392.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\xbpt_hardlink_yankee_518134.dat testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_735193/dir_backup_240201/dir_draft_203180/dir_zulu_409792/xbpt_hardlink_quebec_490116.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_gamma_333765\dir_zulu_845500\xbpt_symlink_echo_566939.lnk testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_735193/dir_backup_240201/dir_draft_203180/dir_zulu_409792/xbpt_hardlink_uniform_288185.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_draft_196876\dir_data_379372\xbpt_symlink_uniform_926990.lnk testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_735193/dir_backup_240201/dir_draft_203180/dir_zulu_409792/xbpt_symlink_index_716664.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_foxtrot_302916\dir_uniform_914766\dir_quebec_957455\xbpt_oscar_papa_463922.bak testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_735193/dir_backup_240201/dir_draft_203180/xbpt_symlink_output_894924.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_output_201363\dir_backup_240201\dir_draft_203180\dir_zulu_409792\xbpt_data_romeo_992013.json testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_735193/dir_backup_240201/dir_quebec_918931/xbpt_symlink_zulu_651233.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_report_583335\xbpt_symlink_cache_471699.lnk testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_735193/dir_backup_240201/xbpt_archive_beta_282319.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_november_274328\xbpt_symlink_gamma_837222.lnk testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_735193/dir_backup_240201/xbpt_hardlink_log_867272.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\xbpt_foxtrot_kilo_188200.bin testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_735193/dir_backup_240201/xbpt_yankee_temp_658090.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_gamma_333765\dir_zulu_845500\xbpt_echo_oscar_993012.lnk testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_735193/dir_sync_430576/xbpt_symlink_lima_766278.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_draft_196876\dir_kilo_310520\dir_oscar_738913\xbpt_hardlink_cache_151636.ini testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_735193/xbpt_symlink_draft_897193.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_foxtrot_302916\dir_oscar_342854\dir_archive_860003\xbpt_beta_quebec_468555.bak testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_735193/xbpt_symlink_draft_911889.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_foxtrot_302916\dir_zulu_845500\xbpt_echo_oscar_993012.lnk testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_735193/xbpt_symlink_gamma_997513.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_foxtrot_302916\dir_uniform_490900\dir_tango_606500\dir_temp_180881\dir_oscar_738913\xbpt_alpha_beta_164881.dat testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_735193/xbpt_symlink_victor_316100.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_foxtrot_302916\dir_zulu_845500\xbpt_symlink_echo_566939.lnk testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_914766/dir_quebec_957455/dir_victor_956392/dir_draft_180033/xbpt_symlink_uniform_598594.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_gamma_333765\dir_uniform_914766\xbpt_symlink_zulu_866308.lnk testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_914766/dir_quebec_957455/dir_victor_956392/xbpt_data_alpha_687052.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_gamma_333765\dir_zulu_845500\xbpt_delta_mike_801553.tmp testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_914766/dir_quebec_957455/dir_victor_956392/xbpt_hardlink_log_242062.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_gamma_333765\dir_zulu_845500\xbpt_audit_india_294476.md testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_914766/dir_quebec_957455/dir_victor_956392/xbpt_hardlink_mike_348424.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_backup_645744\xbpt_hardlink_beta_222943.txt testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_914766/dir_quebec_957455/dir_victor_956392/xbpt_index_beta_226702.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_foxtrot_302916\dir_uniform_490900\dir_tango_606500\dir_temp_180881\dir_oscar_738913\xbpt_hardlink_data_287531.lnk testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_914766/dir_quebec_957455/dir_victor_956392/xbpt_symlink_backup_797643.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_gamma_333765\dir_uniform_914766\xbpt_symlink_zulu_866308.lnk testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_914766/dir_quebec_957455/dir_victor_956392/xbpt_symlink_cache_827960.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_tango_306249\xbpt_delta_log_857078.csv testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_914766/dir_quebec_957455/dir_victor_956392/xbpt_symlink_foxtrot_169980.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_foxtrot_302916\dir_report_930793\dir_uniform_960526\xbpt_cache_echo_580272.md testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_914766/dir_quebec_957455/dir_victor_956392/xbpt_symlink_mike_100866.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_romeo_329630\dir_kilo_987907\xbpt_victor_yankee_759456.json testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_914766/dir_quebec_957455/dir_victor_956392/xbpt_symlink_uniform_241989.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_backup_645744\dir_india_641930\dir_cache_422839\xbpt_papa_echo_912265.md testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_914766/dir_quebec_957455/dir_victor_956392/xbpt_symlink_uniform_546047.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_gamma_333765\dir_zulu_845500\xbpt_romeo_audit_439353.log testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_914766/dir_quebec_957455/dir_victor_956392/xbpt_symlink_yankee_659090.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_gamma_333765\xbpt_hardlink_kilo_269719.lnk testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_914766/dir_quebec_957455/xbpt_hardlink_index_924275.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_draft_196876\dir_data_379372\xbpt_hardlink_backup_502262.bin testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_914766/dir_quebec_957455/xbpt_symlink_delta_287706.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_gamma_333765\dir_uniform_914766\dir_lima_364837\xbpt_hardlink_beta_501725.dat testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_914766/xbpt_hardlink_audit_962379.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_quebec_504972\xbpt_hardlink_whiskey_944822.lnk testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_914766/xbpt_hardlink_beta_226735.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) N:\testintegrity\dir_november_274328\xbpt_symlink_gamma_837222.lnk testintegrity/dir_gamma_404999/dir_whiskey_550421/dir_sierra_463915/dir_yankee_672946/dir_uniform_914766/xbpt_hardlink_cache_448049.lnk
