timestamp_utc,source,oid,name,event
2026-05-23 06:04:52 UTC,MLog,,,MODIFY
2026-05-23 06:04:52 UTC,MLog,,,MODIFY
2026-05-23 06:04:52 UTC,MLog,,,MODIFY
2026-05-23 06:04:52 UTC,MLog,,,MODIFY
2026-05-23 06:04:52 UTC,MLog,,,MODIFY
2026-05-23 06:04:52 UTC,MLog,,,MODIFY
2026-05-23 06:04:52 UTC,MLog,,,MODIFY
2026-05-23 06:04:52 UTC,MLog,,,MODIFY
2026-05-23 06:04:52 UTC,MLog,0x600,/,WRITE
2026-05-23 06:04:52 UTC,MLog,0x701,/System Volume Information,CREATE
2026-05-23 06:25:42 UTC,MLog,0x702,/System Volume Information/ClientRecoveryPasswordRotation,CREATE
2026-05-23 06:25:42 UTC,MLog,0x703,/System Volume Information/AadRecoveryPasswordDelete,CREATE
2026-05-23 06:25:42 UTC,MLog,0x704,/System Volume Information/FveDecryptedVolumeFolder,CREATE
2026-05-23 06:26:31 UTC,MLog,0x705,/$RECYCLE.BIN,CREATE
2026-05-23 06:32:43 UTC,MLog,0x701,/System Volume Information,CREATE
2026-05-23 06:32:43 UTC,MLog,0x701,/System Volume Information,CREATE
2026-05-23 06:32:43 UTC,MLog,0x701,/System Volume Information,CREATE
2026-05-23 06:56:48 UTC,MLog,0x707,OID 0x707,CREATE
2026-05-23 06:57:03 UTC,MLog,0x70b,OID 0x70b,CREATE
2026-05-23 06:57:12 UTC,MLog,0x70c,OID 0x70c,CREATE
2026-05-23 06:57:18 UTC,MLog,0x70d,OID 0x70d,CREATE
2026-05-23 06:57:31 UTC,MLog,0x70e,OID 0x70e,CREATE
2026-05-23 06:57:40 UTC,MLog,0x70f,OID 0x70f,CREATE
2026-05-23 06:57:49 UTC,MLog,0x710,OID 0x710,CREATE
2026-05-23 06:57:55 UTC,MLog,0x711,OID 0x711,CREATE
2026-05-23 06:59:25 UTC,MLog,0x712,OID 0x712,CREATE
2026-05-23 06:59:33 UTC,MLog,0x716,OID 0x716,CREATE
2026-05-23 06:59:34 UTC,MLog,0x717,OID 0x717,CREATE
2026-05-23 06:59:36 UTC,MLog,0x718,OID 0x718,CREATE
2026-05-23 06:59:38 UTC,MLog,0x719,OID 0x719,CREATE
2026-05-23 06:59:40 UTC,MLog,0x71a,OID 0x71a,CREATE
2026-05-23 06:59:41 UTC,MLog,0x71b,OID 0x71b,CREATE
2026-05-23 06:59:43 UTC,MLog,0x71c,OID 0x71c,CREATE
2026-05-23 06:59:45 UTC,MLog,0x71d,OID 0x71d,CREATE
2026-05-23 06:59:46 UTC,MLog,0x71e,OID 0x71e,CREATE
2026-05-23 06:59:48 UTC,MLog,0x71f,OID 0x71f,CREATE
2026-05-23 06:59:50 UTC,MLog,0x720,OID 0x720,CREATE
2026-05-23 06:59:52 UTC,MLog,0x721,OID 0x721,CREATE
2026-05-23 07:04:28 UTC,MLog,0x722,OID 0x722,CREATE
2026-05-23 07:04:42 UTC,MLog,0x725,OID 0x725,CREATE
2026-05-23 07:04:53 UTC,MLog,0x726,OID 0x726,CREATE
2026-05-23 07:04:56 UTC,MLog,0x727,OID 0x727,CREATE
2026-05-23 07:04:59 UTC,MLog,0x728,OID 0x728,CREATE
2026-05-23 07:05:02 UTC,MLog,0x729,OID 0x729,CREATE
2026-05-23 07:05:09 UTC,MLog,0x72a,OID 0x72a,CREATE
2026-05-23 07:05:20 UTC,MLog,0x72b,OID 0x72b,CREATE
2026-05-23 07:05:27 UTC,MLog,0x72c,OID 0x72c,CREATE
2026-05-23 07:05:37 UTC,MLog,0x72d,OID 0x72d,CREATE
2026-05-23 07:05:38 UTC,MLog,0x72e,OID 0x72e,CREATE
2026-05-23 07:05:40 UTC,MLog,0x72f,OID 0x72f,CREATE
2026-05-23 07:05:42 UTC,MLog,0x730,OID 0x730,CREATE
2026-05-23 07:05:43 UTC,MLog,0x731,OID 0x731,CREATE
2026-05-23 07:05:45 UTC,MLog,0x732,OID 0x732,CREATE
2026-05-23 07:05:46 UTC,MLog,0x733,OID 0x733,CREATE
2026-05-23 07:05:48 UTC,MLog,0x734,OID 0x734,CREATE
2026-05-23 07:05:51 UTC,MLog,0x736,OID 0x736,CREATE
2026-05-23 07:05:53 UTC,MLog,0x737,OID 0x737,CREATE
2026-05-23 07:05:54 UTC,MLog,0x738,OID 0x738,CREATE
2026-05-23 07:05:56 UTC,MLog,0x739,OID 0x739,CREATE
2026-05-23 07:05:57 UTC,MLog,0x73a,OID 0x73a,CREATE
2026-05-23 07:05:59 UTC,MLog,0x73b,OID 0x73b,CREATE
2026-05-23 07:06:01 UTC,MLog,0x73c,OID 0x73c,CREATE
2026-05-23 07:06:07 UTC,MLog,0x73d,OID 0x73d,CREATE
2026-05-23 07:08:04 UTC,MLog,0x73e,OID 0x73e,CREATE
2026-05-23 07:33:58 UTC,MLog,0x73f,/test,CREATE
2026-05-23 07:33:58 UTC,MLog,0x73f,/test,CREATE
2026-05-23 07:33:58 UTC,MLog,0x73f,/test,RENAME
2026-05-23 07:33:58 UTC,MLog,0x740,/test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_603462,CREATE
2026-05-23 07:33:58 UTC,MLog,0x740,/test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_603462,CREATE
2026-05-23 07:33:58 UTC,MLog,0x740,/test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_603462,CREATE
2026-05-23 07:33:58 UTC,MLog,0x73f,/test,CREATE
2026-05-23 07:33:58 UTC,MLog,0x741,/test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_config_541148,CREATE
2026-05-23 07:33:58 UTC,MLog,0x73f,/test,CREATE
2026-05-23 07:33:58 UTC,MLog,0x740,/test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_603462,RENAME
2026-05-23 07:33:58 UTC,MLog,0x740,/test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_603462,CREATE
2026-05-23 07:33:58 UTC,MLog,0x740,/test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_603462,CREATE
2026-05-23 07:33:58 UTC,MLog,0x740,/test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_603462,CREATE
