path,oid,confidence,signals,created,modified,changed,accessed
test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/xbpt_zulu_india_473528.csv,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2024-08-03 07:17:33,2024-08-03 07:17:33,2026-05-23 07:34:05,2024-08-03 07:17:33
test/elvis_dir_index_149423/elvis_dir_victor_121923/xbpt_whiskey_delta_922359.tmp,(non-res),HIGH,CHANGE_LATE|PRE_FORMAT,2024-11-23 07:17:31,2024-11-23 07:17:31,2026-05-23 07:34:05,2024-11-23 07:17:31
test/elvis_dir_index_149423/xbpt_beta_archive_985685.tmp,(non-res),HIGH,CHANGE_LATE|PRE_FORMAT,2023-11-27 07:16:30,2023-11-27 07:16:30,2026-05-23 07:34:03,2023-11-27 07:16:30
test/elvis_dir_index_149423/xbpt_zulu_kilo_319858.csv,(non-res),HIGH,CHANGE_LATE|PRE_FORMAT,2022-05-20 07:16:16,2022-05-20 07:16:16,2026-05-23 07:34:02,2022-05-20 07:16:16
test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_delta_echo_268401.csv,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2024-01-13 07:17:04,2024-01-13 07:17:04,2026-05-23 07:34:04,2024-01-13 07:17:04
test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_lima_victor_941030.cfg,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2025-07-16 07:17:35,2025-07-16 07:17:35,2026-05-23 07:34:05,2025-07-16 07:17:35
test/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_temp_sierra_130629.tmp,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2022-02-07 07:16:33,2022-02-07 07:16:33,2026-05-23 07:34:02,2022-02-07 07:16:33
test/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_beta_984608/xbpt_cache_zulu_259753.dat,(non-res),HIGH,CHANGE_LATE|PRE_FORMAT,2026-03-01 07:16:07,2026-03-01 07:16:07,2026-05-23 07:34:04,2026-03-01 07:16:07
test/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_beta_984608/xbpt_delta_temp_981764.tmp,(non-res),HIGH,CHANGE_LATE|PRE_FORMAT,2023-08-26 07:16:12,2023-08-26 07:16:12,2026-05-23 07:33:59,2023-08-26 07:16:12
test/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_record_901264/xbpt_audit_config_255291.dat,(non-res),HIGH,CHANGE_LATE|PRE_FORMAT,2021-10-19 07:16:21,2021-10-19 07:16:21,2026-05-23 07:34:01,2021-10-19 07:16:21
test/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_record_901264/xbpt_zulu_trace_481495.md,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2024-06-07 07:17:11,2024-06-07 07:17:11,2026-05-23 07:34:04,2024-06-07 07:17:11
test/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/xbpt_backup_echo_585708.csv,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2022-06-17 07:16:38,2022-06-17 07:16:38,2026-05-23 07:34:02,2022-06-17 07:16:38
test/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/xbpt_romeo_output_531365.cfg,(non-res),HIGH,PRE_FORMAT|HARDLINK_MACB_MISMATCH,2022-08-02 07:16:28,2026-05-23 07:34:01,2026-05-23 07:34:02,2026-05-23 07:34:01
test/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/xbpt_temp_mike_134457.bak,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2025-12-30 07:17:16,2025-12-30 07:17:16,2026-05-23 07:34:04,2025-12-30 07:17:16
test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_config_541148/xbpt_yankee_foxtrot_727835.bak,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2022-04-19 07:16:47,2022-04-19 07:16:47,2026-05-23 07:34:03,2022-04-19 07:16:47
test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/xbpt_audit_log_130131.ini,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2021-10-14 07:17:10,2021-10-14 07:17:10,2026-05-23 07:34:04,2021-10-14 07:17:10
test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/xbpt_beta_cache_861983.json,(non-res),HIGH,CHANGE_LATE|PRE_FORMAT,2025-06-11 07:16:10,2025-06-11 07:16:10,2026-05-23 07:34:02,2025-06-11 07:16:10
test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/xbpt_romeo_gamma_831931.dat,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2025-02-23 07:17:23,2025-02-23 07:17:23,2026-05-23 07:34:05,2025-02-23 07:17:23
test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/xbpt_tango_victor_844323.json,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2025-03-31 07:17:11,2025-03-31 07:17:11,2026-05-23 07:34:04,2025-03-31 07:17:11
test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_603462/elvis_dir_quebec_218899/xbpt_config_record_746941.dat,(non-res),HIGH,CHANGE_LATE|PRE_FORMAT,2024-05-06 07:17:31,2024-05-06 07:17:31,2026-05-23 07:34:05,2024-05-06 07:17:31
test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_603462/xbpt_victor_echo_578793.cfg,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2023-10-15 07:17:00,2023-10-15 07:17:00,2026-05-23 07:34:04,2023-10-15 07:17:00
test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_603462/xbpt_zulu_output_293634.cfg,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2023-11-21 07:17:13,2023-11-21 07:17:13,2026-05-23 07:34:04,2023-11-21 07:17:13
test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/xbpt_cache_beta_265588.tmp,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2022-03-06 07:16:22,2022-03-06 07:16:22,2026-05-23 07:34:05,2022-03-06 07:16:22
test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/xbpt_index_temp_198731.cfg,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2022-02-28 07:17:26,2022-02-28 07:17:26,2026-05-23 07:34:05,2022-02-28 07:17:26
test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/xbpt_log_whiskey_169575.dat,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2022-12-26 07:16:15,2022-12-26 07:16:15,2026-05-23 07:34:00,2022-12-26 07:16:15
test/elvis_dir_record_449015/elvis_dir_papa_104235/xbpt_temp_foxtrot_475776.md,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2025-04-08 07:17:35,2025-04-08 07:17:35,2026-05-23 07:34:05,2025-04-08 07:17:35
test/elvis_dir_victor_783323/xbpt_delta_echo_626074.json,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2025-04-19 07:17:09,2025-04-19 07:17:09,2026-05-23 07:34:04,2025-04-19 07:17:09
test/elvis_dir_victor_783323/xbpt_record_mike_276675.tmp,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2025-12-01 07:17:11,2025-12-01 07:17:11,2026-05-23 07:34:04,2025-12-01 07:17:11
test/elvis_dir_victor_783323/xbpt_romeo_yankee_383561.cfg,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2022-05-31 07:17:29,2022-05-31 07:17:29,2026-05-23 07:34:05,2022-05-31 07:17:29
test/elvis_dir_victor_783323/xbpt_trace_config_794136.tmp,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2021-10-04 07:16:49,2021-10-04 07:16:49,2026-05-23 07:34:03,2021-10-04 07:16:49
test/elvis_dir_victor_783323/xbpt_yankee_output_781405.csv,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2025-09-04 07:16:57,2025-09-04 07:16:57,2026-05-23 07:34:03,2025-09-04 07:16:57
test/xbpt_config_log_982725.bin,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2021-10-15 07:17:19,2021-10-15 07:17:19,2026-05-23 07:34:05,2021-10-15 07:17:19
test/xbpt_index_india_423224.csv,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2025-06-06 07:17:11,2025-06-06 07:17:11,2026-05-23 07:34:04,2025-06-06 07:17:11
test/xbpt_india_papa_801739.json,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2025-08-11 07:17:32,2025-08-11 07:17:32,2026-05-23 07:34:05,2025-08-11 07:17:32
test/xbpt_india_temp_831504.csv,(non-res),HIGH,CHANGE_LATE|PRE_FORMAT,2024-04-02 07:16:32,2024-04-02 07:16:32,2026-05-23 07:34:03,2024-04-02 07:16:32
test/xbpt_yankee_audit_433793.xml,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2022-02-12 07:16:16,2022-02-12 07:16:16,2026-05-23 07:34:01,2022-02-12 07:16:16
test2/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/xbpt_zulu_india_473528.csv,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2024-08-03 07:17:33,2024-08-03 07:17:33,2026-05-23 07:38:52,2024-08-03 07:17:33
test2/elvis_dir_index_149423/elvis_dir_victor_121923/xbpt_whiskey_delta_922359.tmp,(non-res),HIGH,CHANGE_LATE|PRE_FORMAT,2024-11-23 07:17:31,2024-11-23 07:17:31,2026-05-23 07:38:52,2024-11-23 07:17:31
test2/elvis_dir_index_149423/xbpt_beta_archive_985685.tmp,(non-res),HIGH,CHANGE_LATE|PRE_FORMAT,2023-11-27 07:16:30,2023-11-27 07:16:30,2026-05-23 07:38:49,2023-11-27 07:16:30
test2/elvis_dir_index_149423/xbpt_zulu_kilo_319858.csv,(non-res),HIGH,CHANGE_LATE|PRE_FORMAT,2022-05-20 07:16:16,2022-05-20 07:16:16,2026-05-23 07:38:48,2022-05-20 07:16:16
test2/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_delta_echo_268401.csv,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2024-01-13 07:17:04,2024-01-13 07:17:04,2026-05-23 07:38:50,2024-01-13 07:17:04
test2/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_lima_victor_941030.cfg,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2025-07-16 07:17:35,2025-07-16 07:17:35,2026-05-23 07:38:52,2025-07-16 07:17:35
test2/elvis_dir_papa_805353/elvis_dir_november_478580/xbpt_temp_sierra_130629.tmp,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2022-02-07 07:16:33,2022-02-07 07:16:33,2026-05-23 07:38:48,2022-02-07 07:16:33
test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_beta_984608/xbpt_cache_zulu_259753.dat,(non-res),HIGH,CHANGE_LATE|PRE_FORMAT,2026-03-01 07:16:07,2026-03-01 07:16:07,2026-05-23 07:38:50,2026-03-01 07:16:07
test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_beta_984608/xbpt_delta_temp_981764.tmp,(non-res),HIGH,CHANGE_LATE|PRE_FORMAT,2023-08-26 07:16:12,2023-08-26 07:16:12,2026-05-23 07:38:46,2023-08-26 07:16:12
test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_record_901264/xbpt_audit_config_255291.dat,(non-res),HIGH,CHANGE_LATE|PRE_FORMAT,2021-10-19 07:16:21,2021-10-19 07:16:21,2026-05-23 07:38:48,2021-10-19 07:16:21
test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/elvis_dir_record_901264/xbpt_zulu_trace_481495.md,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2024-06-07 07:17:11,2024-06-07 07:17:11,2026-05-23 07:38:50,2024-06-07 07:17:11
test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/xbpt_backup_echo_585708.csv,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2022-06-17 07:16:38,2022-06-17 07:16:38,2026-05-23 07:38:48,2022-06-17 07:16:38
test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/xbpt_romeo_output_531365.cfg,(non-res),HIGH,PRE_FORMAT|HARDLINK_MACB_MISMATCH,2022-08-02 07:16:28,2026-05-23 07:38:48,2026-05-23 07:38:48,2026-05-23 07:38:48
test2/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/xbpt_temp_mike_134457.bak,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2025-12-30 07:17:16,2025-12-30 07:17:16,2026-05-23 07:38:51,2025-12-30 07:17:16
test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_config_541148/xbpt_yankee_foxtrot_727835.bak,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2022-04-19 07:16:47,2022-04-19 07:16:47,2026-05-23 07:38:49,2022-04-19 07:16:47
test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/xbpt_audit_log_130131.ini,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2021-10-14 07:17:10,2021-10-14 07:17:10,2026-05-23 07:38:50,2021-10-14 07:17:10
test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/xbpt_beta_cache_861983.json,(non-res),HIGH,CHANGE_LATE|PRE_FORMAT,2025-06-11 07:16:10,2025-06-11 07:16:10,2026-05-23 07:38:48,2025-06-11 07:16:10
test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/xbpt_romeo_gamma_831931.dat,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2025-02-23 07:17:23,2025-02-23 07:17:23,2026-05-23 07:38:51,2025-02-23 07:17:23
test2/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/xbpt_tango_victor_844323.json,(resident),HIGH,CHANGE_LATE|PRE_FORMAT,2025-03-31 07:17:11,2025-03-31 07:17:11,2026-05-23 07:38:51,2025-03-31 07:17:11
