==============================================================================
ReFS Directory Tree
==============================================================================
  Image:           win11refstestmftecmd.raw
  ReFS version:    3.14
  Cluster size:    0x1000
  Objects:         250
  Start OID:       0x600
  Start name:      Root Directory

  Total entries:   1744 (237 directories, 1507 files, 84 ADS)

  Type  OID          Attrs            Size Modified             Path
  ----------------------------------------------------------------------------------------------------
  DIR   0x705        HIDDEN|SYSTEM|DIRECTORY            2026-05-23 06:26:31  $RECYCLE.BIN
  DIR   0x706        HIDDEN|SYSTEM|DIRECTORY            2026-05-23 06:26:31  $RECYCLE.BIN/S-1-5-21-3829591975-2821165226-2477612932-1001
  FILE  (resident)   HIDDEN|SYSTEM|ARCHIVE          0 2026-05-23 06:26:31  $RECYCLE.BIN/S-1-5-21-3829591975-2821165226-2477612932-1001/desktop.ini
  DIR   0x701        HIDDEN|SYSTEM|DIRECTORY            2026-05-23 11:15:52  System Volume Information
  DIR   0x703        DIRECTORY             2026-05-23 06:25:42  System Volume Information/AadRecoveryPasswordDelete
  DIR   0x702        DIRECTORY             2026-05-23 06:25:42  System Volume Information/ClientRecoveryPasswordRotation
  FILE  (resident)   HIDDEN|SYSTEM|ARCHIVE          0 2026-05-23 06:32:43  System Volume Information/FVE2.{8252fd17-a486-4ad4-b1ca-f4fe64d23218}
  DIR   0x704        DIRECTORY             2026-05-23 06:25:42  System Volume Information/FveDecryptedVolumeFolder
  FILE  (resident)   ARCHIVE             0 2026-05-23 06:26:37  System Volume Information/IndexerVolumeGuid
  FILE  (resident)   HIDDEN|SYSTEM|ARCHIVE          0 2026-05-23 11:15:52  System Volume Information/MountPointManagerRemoteDatabase
  FILE  (resident)   ARCHIVE             0 2026-05-23 06:04:52  System Volume Information/WPSettings.dat
  DIR   0x73f        DIRECTORY             2026-05-23 07:34:06  test
  DIR   0x75f        DIRECTORY             2026-05-23 07:34:05  test/elvis_dir_index_149423
  DIR   0x76c        DIRECTORY             2026-05-23 07:34:06  test/elvis_dir_index_149423/elvis_dir_victor_121923
  DIR   0x76d        DIRECTORY             2026-05-23 07:34:05  test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324
  DIR   0x76e        DIRECTORY             2026-05-23 07:34:05  test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165
  DIR   0x768        DIRECTORY             2026-05-23 07:34:05  test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/elvis_dir_oscar_874075
  FILE  0x754        ARCHIVE        209311 2026-05-23 07:34:01  test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/elvis_dir_oscar_874075/xbpt_delta_victor_412034.ini
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:03  test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/elvis_dir_oscar_874075/xbpt_zulu_mike_340372.cfg
  FILE  0x748        ARCHIVE        520031 2026-05-23 07:34:04  test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/xbpt_audit_echo_178867.tmp
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:04  test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/xbpt_log_foxtrot_796125.ini
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:05  test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/xbpt_oscar_foxtrot_866936.json
  FILE  0x744        ARCHIVE        403765 2026-05-23 07:33:59  test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/xbpt_output_lima_215617.json
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:05  test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/xbpt_papa_archive_660135.txt
  FILE  (resident)   ARCHIVE             0 2024-08-03 07:17:33  test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/xbpt_zulu_india_473528.csv
  FILE  0x741        ARCHIVE        208467 2026-05-23 07:34:01  test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/xbpt_cache_sync_352758.ini
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:05  test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/xbpt_cache_temp_298348.bak
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:04  test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/xbpt_log_romeo_711888.cfg
  FILE  (resident)   ARCHIVE             0 2025-04-01 07:16:26  test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/xbpt_november_yankee_663510.csv
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:04  test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/xbpt_trace_gamma_472483.cfg
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:05  test/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/xbpt_zulu_audit_805568.ini
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:05  test/elvis_dir_index_149423/elvis_dir_victor_121923/xbpt_hotel_mike_996142.cfg
  FILE  0x744        ARCHIVE        453197 2026-05-23 07:34:05  test/elvis_dir_index_149423/elvis_dir_victor_121923/xbpt_hotel_victor_678038.txt
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:06  test/elvis_dir_index_149423/elvis_dir_victor_121923/xbpt_large_5mb_romeo_293003.dat
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:06  test/elvis_dir_index_149423/elvis_dir_victor_121923/xbpt_temp_uniform_753565.cfg
  FILE  0x755        ARCHIVE        339532 2024-11-23 07:17:31  test/elvis_dir_index_149423/elvis_dir_victor_121923/xbpt_whiskey_delta_922359.tmp
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:05  test/elvis_dir_index_149423/elvis_dir_victor_121923/xbpt_zulu_echo_160107.cfg
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:04  test/elvis_dir_index_149423/elvis_dir_victor_121923/xbpt_zulu_papa_839258.bin
  FILE  0x741        ARCHIVE        310564 2023-11-27 07:16:30  test/elvis_dir_index_149423/xbpt_beta_archive_985685.tmp
