==============================================================================
ReFS Object ID Table
==============================================================================
  Image:            win11refstestmftecmd.raw
  Partition start:  0x1000000
  Cluster size:     0x1000
  ReFS version:     3.14
  CPC:              0x4000 (shift=15)
  Container entries:63
  OID Table root:   [0x13c04, 0x13c05, 0x13c06, 0x13c07]
  OID Table phys:   [0x3c04, 0x3c05, 0x3c06, 0x3c07]

Total objects: 250

  OID      Name                             Root LCN Physical LCN    Sig Extra
  ----------------------------------------------------------------------------
  0x7      Upcase Table                      0x50020      0x18020   MSB+      
  0x8      Upcase Table (dup)                0x5001c      0x1801c   MSB+      
  0x9      Logfile Information Table         0x50078      0x18078   MSB+      
  0xa      Logfile Information (dup)         0x50074      0x18074   MSB+      
  0xd      Trash Table                       0x5007c      0x1807c   MSB+      
  0x30     Session Activity Table            0x12c04       0x2c04   MSB+      
  0x500    Volume Information                0x12e28       0x2e28   MSB+      
  0x501    Volume Information (dup)          0x12e38       0x2e38   MSB+      
  0x520    FS Metadata                       0x13600       0x3600   MSB+    +8
  0x530    Security Descriptor Stream        0x12200       0x2200   MSB+      
  0x540    Reparse Point Index               0x12a2c       0x2a2c   MSB+      
  0x541    Reparse Point Index (dup)         0x10e34        0xe34   MSB+      
  0x600    Root Directory                    0x1360c       0x360c   MSB+    +8
  0x701    Directory/File (0x701)            0x10200        0x200   MSB+    +8
  0x702    Directory/File (0x702)            0x12404       0x2404   MSB+    +8
  0x703    Directory/File (0x703)            0x12a00       0x2a00   MSB+    +8
  0x704    Directory/File (0x704)            0x12800       0x2800   MSB+    +8
  0x705    Directory/File (0x705)            0x12600       0x2600   MSB+    +8
  0x706    Directory/File (0x706)            0x12604       0x2604   MSB+    +8
  0x73f    Directory/File (0x73f)            0x13c34       0x3c34   MSB+    +8
  0x740    Directory/File (0x740)            0x11a0c       0x1a0c   MSB+    +8
  0x741    Directory/File (0x741)            0x13c2c       0x3c2c   MSB+    +8
  0x743    Directory/File (0x743)            0x12c1c       0x2c1c   MSB+    +8
  0x744    Directory/File (0x744)            0x12224       0x2224   MSB+    +8
  0x745    Directory/File (0x745)            0x1004c         0x4c   MSB+    +8
  0x748    Directory/File (0x748)            0x13430       0x3430   MSB+    +8
  0x74a    Directory/File (0x74a)            0x10a18        0xa18   MSB+    +8
  0x74c    Directory/File (0x74c)            0x11c14       0x1c14   MSB+    +8
  0x74d    Directory/File (0x74d)            0x10210        0x210   MSB+    +8
  0x74e    Directory/File (0x74e)            0x10418        0x418   MSB+    +8
  0x74f    Directory/File (0x74f)            0x11828       0x1828   MSB+    +8
  0x752    Directory/File (0x752)            0x10814        0x814   MSB+    +8
  0x754    Directory/File (0x754)            0x13614       0x3614   MSB+    +8
  0x755    Directory/File (0x755)            0x13c28       0x3c28   MSB+    +8
  0x756    Directory/File (0x756)            0x12e14       0x2e14   MSB+    +8
  0x757    Directory/File (0x757)            0x12424       0x2424   MSB+    +8
  0x75e    Directory/File (0x75e)            0x10e0c        0xe0c   MSB+    +8
  0x75f    Directory/File (0x75f)            0x12220       0x2220   MSB+    +8
  0x760    Directory/File (0x760)            0x13220       0x3220   MSB+    +8
  0x761    Directory/File (0x761)            0x1342c       0x342c   MSB+    +8
  0x762    Directory/File (0x762)            0x1343c       0x343c   MSB+    +8
  0x767    Directory/File (0x767)            0x1243c       0x243c   MSB+    +8
  0x768    Directory/File (0x768)            0x1020c        0x20c   MSB+    +8
  0x76c    Directory/File (0x76c)            0x1361c       0x361c   MSB+    +8
  0x76d    Directory/File (0x76d)            0x1381c       0x381c   MSB+    +8
  0x76e    Directory/File (0x76e)            0x10048         0x48   MSB+    +8
  0x771    Directory/File (0x771)            0x10204        0x204   MSB+    +8
  0x774    Directory/File (0x774)            0x12438       0x2438   MSB+    +8
  0x776    Directory/File (0x776)            0x10208        0x208   MSB+    +8
  0x777    Directory/File (0x777)            0x13218       0x3218   MSB+    +8
  0x778    Directory/File (0x778)            0x12218       0x2218   MSB+    +8
  0x779    Directory/File (0x779)            0x13a20       0x3a20   MSB+    +8
  0x77a    Directory/File (0x77a)            0x1180c       0x180c   MSB+    +8
  0x77b    Directory/File (0x77b)            0x12c18       0x2c18   MSB+    +8
  0x77d    Directory/File (0x77d)            0x10218        0x218   MSB+    +8
  0x77e    Directory/File (0x77e)            0x11600       0x1600   MSB+    +8
  0x77f    Directory/File (0x77f)            0x11220       0x1220   MSB+    +8
  0x782    Directory/File (0x782)            0x1040c        0x40c   MSB+    +8
  0x784    Directory/File (0x784)            0x11804       0x1804   MSB+    +8
  0x786    Directory/File (0x786)            0x10a14        0xa14   MSB+    +8
  0x787    Directory/File (0x787)            0x12a24       0x2a24   MSB+    +8
  0x788    Directory/File (0x788)            0x13a24       0x3a24   MSB+    +8
  0x789    Directory/File (0x789)            0x11c10       0x1c10   MSB+    +8
  0x78c    Directory/File (0x78c)            0x11c08       0x1c08   MSB+    +8
  0x78e    Directory/File (0x78e)            0x11a1c       0x1a1c   MSB+    +8
  0x78f    Directory/File (0x78f)            0x12a18       0x2a18   MSB+    +8
  0x790    Directory/File (0x790)            0x13e10       0x3e10   MSB+    +8
  0x791    Directory/File (0x791)            0x10a08        0xa08   MSB+    +8
  0x798    Directory/File (0x798)            0x1322c       0x322c   MSB+    +8
  0x799    Directory/File (0x799)            0x10c0c        0xc0c   MSB+    +8
  0x79a    Directory/File (0x79a)            0x11224       0x1224   MSB+    +8
  0x79b    Directory/File (0x79b)            0x11a18       0x1a18   MSB+    +8
  0x79c    Directory/File (0x79c)            0x11c20       0x1c20   MSB+    +8
  0x7a1    Directory/File (0x7a1)            0x11618       0x1618   MSB+    +8
  0x7a2    Directory/File (0x7a2)            0x13404       0x3404   MSB+    +8
  0x7a6    Directory/File (0x7a6)            0x12c14       0x2c14   MSB+    +8
  0x7a7    Directory/File (0x7a7)            0x1241c       0x241c   MSB+    +8
  0x7a8    Directory/File (0x7a8)            0x10054         0x54   MSB+    +8
  0x7ab    Directory/File (0x7ab)            0x12014       0x2014   MSB+    +8
  0x7ae    Directory/File (0x7ae)            0x12e24       0x2e24   MSB+    +8
  0x7b0    Directory/File (0x7b0)            0x13e24       0x3e24   MSB+    +8
  0x7b1    Directory/File (0x7b1)            0x13e28       0x3e28   MSB+    +8
  0x7b2    Directory/File (0x7b2)            0x13624       0x3624   MSB+    +8
  0x7b3    Directory/File (0x7b3)            0x13a50       0x3a50   MSB+    +8
  0x7b4    Directory/File (0x7b4)            0x12a30       0x2a30   MSB+    +8
  0x7b5    Directory/File (0x7b5)            0x13428       0x3428   MSB+    +8
  0x7b7    Directory/File (0x7b7)            0x1083c        0x83c   MSB+    +8
  0x7b9    Directory/File (0x7b9)            0x10064         0x64   MSB+    +8
  0x7ba    Directory/File (0x7ba)            0x12838       0x2838   MSB+    +8
  0x7bb    Directory/File (0x7bb)            0x10a30        0xa30   MSB+    +8
  0x7bc    Directory/File (0x7bc)            0x10214        0x214   MSB+    +8
  0x7be    Directory/File (0x7be)            0x13828       0x3828   MSB+    +8
  0x7bf    Directory/File (0x7bf)            0x13420       0x3420   MSB+    +8
  0x7c0    Directory/File (0x7c0)            0x1320c       0x320c   MSB+    +8
  0x7c1    Directory/File (0x7c1)            0x11c3c       0x1c3c   MSB+    +8
  0x7c2    Directory/File (0x7c2)            0x13a38       0x3a38   MSB+    +8
  0x7c3    Directory/File (0x7c3)            0x1220c       0x220c   MSB+    +8
  0x7c4    Directory/File (0x7c4)            0x12e1c       0x2e1c   MSB+    +8
  0x7c6    Directory/File (0x7c6)            0x10c2c        0xc2c   MSB+    +8
  0x7c7    Directory/File (0x7c7)            0x10e10        0xe10   MSB+    +8
  0x7c9    Directory/File (0x7c9)            0x12638       0x2638   MSB+    +8
  0x7ca    Directory/File (0x7ca)            0x11800       0x1800   MSB+    +8
  0x7cb    Directory/File (0x7cb)            0x10428        0x428   MSB+    +8
  0x7cc    Directory/File (0x7cc)            0x11c40       0x1c40   MSB+    +8
  0x7d0    Directory/File (0x7d0)            0x11020       0x1020   MSB+    +8
