
ReFS Parent-Child Table

------------------------------------------------------------------------------
Parent-Child Relationships
------------------------------------------------------------------------------
  Total entries:      238
  Unique parents:     111
  Unique children:    238
  Unique OIDs:        239
  Tree roots:         0x600

  Parent         → Child            Parent Name               → Child Name
  ------------------------------------------------------------------------
  0x600          → 0x520            Root Directory            → FS Metadata
  0x600          → 0x701            Root Directory            → Dir/File (0x701)
  0x600          → 0x705            Root Directory            → Dir/File (0x705)
  0x600          → 0x73f            Root Directory            → Dir/File (0x73f)
  0x600          → 0x779            Root Directory            → Dir/File (0x779)
  0x600          → 0x7b3            Root Directory            → Dir/File (0x7b3)
  0x600          → 0x818            Root Directory            → Object 0x818
  0x701          → 0x702            Dir/File (0x701)          → Dir/File (0x702)
  0x701          → 0x703            Dir/File (0x701)          → Dir/File (0x703)
  0x701          → 0x704            Dir/File (0x701)          → Dir/File (0x704)
  0x705          → 0x706            Dir/File (0x705)          → Dir/File (0x706)
  0x73f          → 0x74c            Dir/File (0x73f)          → Dir/File (0x74c)
  0x73f          → 0x754            Dir/File (0x73f)          → Dir/File (0x754)
  0x73f          → 0x75f            Dir/File (0x73f)          → Dir/File (0x75f)
  0x73f          → 0x760            Dir/File (0x73f)          → Dir/File (0x760)
  0x73f          → 0x762            Dir/File (0x73f)          → Dir/File (0x762)
  0x740          → 0x745            Dir/File (0x740)          → Dir/File (0x745)
  0x743          → 0x741            Dir/File (0x743)          → Dir/File (0x741)
  0x743          → 0x755            Dir/File (0x743)          → Dir/File (0x755)
  0x743          → 0x757            Dir/File (0x743)          → Dir/File (0x757)
  0x743          → 0x761            Dir/File (0x743)          → Dir/File (0x761)
  0x744          → 0x740            Dir/File (0x744)          → Dir/File (0x740)
  0x744          → 0x743            Dir/File (0x744)          → Dir/File (0x743)
  0x748          → 0x752            Dir/File (0x748)          → Dir/File (0x752)
  0x74c          → 0x75e            Dir/File (0x74c)          → Dir/File (0x75e)
  0x74c          → 0x767            Dir/File (0x74c)          → Dir/File (0x767)
  0x74c          → 0x774            Dir/File (0x74c)          → Dir/File (0x774)
  0x74d          → 0x776            Dir/File (0x74d)          → Dir/File (0x776)
  0x74e          → 0x74a            Dir/File (0x74e)          → Dir/File (0x74a)
  0x74e          → 0x74f            Dir/File (0x74e)          → Dir/File (0x74f)
  0x74e          → 0x756            Dir/File (0x74e)          → Dir/File (0x756)
  0x755          → 0x748            Dir/File (0x755)          → Dir/File (0x748)
  0x75e          → 0x744            Dir/File (0x75e)          → Dir/File (0x744)
  0x75e          → 0x771            Dir/File (0x75e)          → Dir/File (0x771)
  0x75f          → 0x76c            Dir/File (0x75f)          → Dir/File (0x76c)
  0x762          → 0x74d            Dir/File (0x762)          → Dir/File (0x74d)
  0x767          → 0x74e            Dir/File (0x767)          → Dir/File (0x74e)
  0x767          → 0x777            Dir/File (0x767)          → Dir/File (0x777)
  0x76c          → 0x76d            Dir/File (0x76c)          → Dir/File (0x76d)
  0x76d          → 0x76e            Dir/File (0x76d)          → Dir/File (0x76e)
  0x76e          → 0x768            Dir/File (0x76e)          → Dir/File (0x768)
  0x774          → 0x778            Dir/File (0x774)          → Dir/File (0x778)
  0x779          → 0x786            Dir/File (0x779)          → Dir/File (0x786)
  0x779          → 0x78e            Dir/File (0x779)          → Dir/File (0x78e)
  0x779          → 0x799            Dir/File (0x779)          → Dir/File (0x799)
  0x779          → 0x79a            Dir/File (0x779)          → Dir/File (0x79a)
  0x779          → 0x79c            Dir/File (0x779)          → Dir/File (0x79c)
  0x77a          → 0x77f            Dir/File (0x77a)          → Dir/File (0x77f)
  0x77d          → 0x77b            Dir/File (0x77d)          → Dir/File (0x77b)
  0x77d          → 0x78f            Dir/File (0x77d)          → Dir/File (0x78f)
  0x77d          → 0x791            Dir/File (0x77d)          → Dir/File (0x791)
  0x77d          → 0x79b            Dir/File (0x77d)          → Dir/File (0x79b)
  0x77e          → 0x77a            Dir/File (0x77e)          → Dir/File (0x77a)
  0x77e          → 0x77d            Dir/File (0x77e)          → Dir/File (0x77d)
  0x782          → 0x78c            Dir/File (0x782)          → Dir/File (0x78c)
  0x786          → 0x798            Dir/File (0x786)          → Dir/File (0x798)
  0x786          → 0x7a1            Dir/File (0x786)          → Dir/File (0x7a1)
  0x786          → 0x7ae            Dir/File (0x786)          → Dir/File (0x7ae)
  0x787          → 0x7b0            Dir/File (0x787)          → Dir/File (0x7b0)
  0x788          → 0x784            Dir/File (0x788)          → Dir/File (0x784)
  0x788          → 0x789            Dir/File (0x788)          → Dir/File (0x789)
  0x788          → 0x790            Dir/File (0x788)          → Dir/File (0x790)
  0x78f          → 0x782            Dir/File (0x78f)          → Dir/File (0x782)
  0x798          → 0x77e            Dir/File (0x798)          → Dir/File (0x77e)
  0x798          → 0x7ab            Dir/File (0x798)          → Dir/File (0x7ab)
  0x799          → 0x7a6            Dir/File (0x799)          → Dir/File (0x7a6)
  0x79c          → 0x787            Dir/File (0x79c)          → Dir/File (0x787)
  0x7a1          → 0x788            Dir/File (0x7a1)          → Dir/File (0x788)
  0x7a1          → 0x7b1            Dir/File (0x7a1)          → Dir/File (0x7b1)
  0x7a6          → 0x7a7            Dir/File (0x7a6)          → Dir/File (0x7a7)
  0x7a7          → 0x7a8            Dir/File (0x7a7)          → Dir/File (0x7a8)
  0x7a8          → 0x7a2            Dir/File (0x7a8)          → Dir/File (0x7a2)
  0x7ae          → 0x7b2            Dir/File (0x7ae)          → Dir/File (0x7b2)
  0x7b3          → 0x7b9            Dir/File (0x7b3)          → Dir/File (0x7b9)
  0x7b3          → 0x7c6            Dir/File (0x7b3)          → Dir/File (0x7c6)
  0x7b3          → 0x7e1            Dir/File (0x7b3)          → Dir/File (0x7e1)
  0x7b4          → 0x7c3            Dir/File (0x7b4)          → Dir/File (0x7c3)
  0x7b4          → 0x7c4            Dir/File (0x7b4)          → Dir/File (0x7c4)
  0x7b4          → 0x7c7            Dir/File (0x7b4)          → Dir/File (0x7c7)
  0x7b4          → 0x7c9            Dir/File (0x7b4)          → Dir/File (0x7c9)
  0x7b4          → 0x7d0            Dir/File (0x7b4)          → Dir/File (0x7d0)
  0x7b5          → 0x7d6            Dir/File (0x7b5)          → Dir/File (0x7d6)
  0x7b5          → 0x7e7            Dir/File (0x7b5)          → Dir/File (0x7e7)
  0x7b5          → 0x7e8            Dir/File (0x7b5)          → Dir/File (0x7e8)
  0x7b5          → 0x806            Dir/File (0x7b5)          → Object 0x806
  0x7b7          → 0x7bb            Dir/File (0x7b7)          → Dir/File (0x7bb)
  0x7b7          → 0x7cb            Dir/File (0x7b7)          → Dir/File (0x7cb)
  0x7b7          → 0x7cc            Dir/File (0x7b7)          → Dir/File (0x7cc)
  0x7b7          → 0x7e9            Dir/File (0x7b7)          → Dir/File (0x7e9)
  0x7b7          → 0x7ee            Dir/File (0x7b7)          → Dir/File (0x7ee)
  0x7b9          → 0x7b7            Dir/File (0x7b9)          → Dir/File (0x7b7)
  0x7b9          → 0x7da            Dir/File (0x7b9)          → Dir/File (0x7da)
  0x7b9          → 0x7e5            Dir/File (0x7b9)          → Dir/File (0x7e5)
  0x7b9          → 0x803            Dir/File (0x7b9)          → Object 0x803
  0x7b9          → 0x808            Dir/File (0x7b9)          → Object 0x808
  0x7b9          → 0x810            Dir/File (0x7b9)          → Object 0x810
  0x7ba          → 0x7be            Dir/File (0x7ba)          → Dir/File (0x7be)
  0x7bb          → 0x7c0            Dir/File (0x7bb)          → Dir/File (0x7c0)
  0x7bb          → 0x7c2            Dir/File (0x7bb)          → Dir/File (0x7c2)
  0x7bb          → 0x7d1            Dir/File (0x7bb)          → Dir/File (0x7d1)
  0x7bb          → 0x7d2            Dir/File (0x7bb)          → Dir/File (0x7d2)
  0x7bb          → 0x7fc            Dir/File (0x7bb)          → Dir/File (0x7fc)
  0x7bc          → 0x7d7            Dir/File (0x7bc)          → Dir/File (0x7d7)
  0x7bf          → 0x7db            Dir/File (0x7bf)          → Dir/File (0x7db)
  0x7bf          → 0x7f2            Dir/File (0x7bf)          → Dir/File (0x7f2)
  0x7c0          → 0x7e6            Dir/File (0x7c0)          → Dir/File (0x7e6)
  0x7c1          → 0x7ca            Dir/File (0x7c1)          → Dir/File (0x7ca)
  0x7c1          → 0x7d4            Dir/File (0x7c1)          → Dir/File (0x7d4)
  0x7c2          → 0x7ea            Dir/File (0x7c2)          → Dir/File (0x7ea)
  0x7c3          → 0x7ba            Dir/File (0x7c3)          → Dir/File (0x7ba)
  0x7c6          → 0x7dc            Dir/File (0x7c6)          → Dir/File (0x7dc)
  0x7c6          → 0x7ec            Dir/File (0x7c6)          → Dir/File (0x7ec)
  0x7c9          → 0x7c1            Dir/File (0x7c9)          → Dir/File (0x7c1)
  0x7cb          → 0x7eb            Dir/File (0x7cb)          → Dir/File (0x7eb)
  0x7cb          → 0x80f            Dir/File (0x7cb)          → Object 0x80f
  0x7cb          → 0x817            Dir/File (0x7cb)          → Object 0x817
  0x7cc          → 0x7e2            Dir/File (0x7cc)          → Dir/File (0x7e2)
  0x7cc          → 0x7e4            Dir/File (0x7cc)          → Dir/File (0x7e4)
  0x7cc          → 0x7ef            Dir/File (0x7cc)          → Dir/File (0x7ef)
  0x7cc          → 0x7fb            Dir/File (0x7cc)          → Dir/File (0x7fb)
  0x7cc          → 0x805            Dir/File (0x7cc)          → Object 0x805
  0x7cc          → 0x80e            Dir/File (0x7cc)          → Object 0x80e
  0x7d2          → 0x7b4            Dir/File (0x7d2)          → Dir/File (0x7b4)
  0x7d2          → 0x7d9            Dir/File (0x7d2)          → Dir/File (0x7d9)
