ObjectRef,FullPath,FileName,Extension,FileSize,Created,Modified,Changed,Accessed,ParentPath,ParentOID,CreationDir,HomeOID,FileID,USN,FileAttributes,SecurityId,OwnerSid,GroupSid,DACLSummary,HasADS,ADSNames,RecordPlacement,DataResidency,IsResident,IsDirectory,IsEncrypted,IsCompressed,HasIntegrity,HasEA,HardLinkCount,HardLinkNames,SnapshotCount,SnapshotNames,ReparseTag,ReparseTarget,IsSparse,AllocatedSize,InternalFlags,IsMoved,TimestompFlags
0x701,System Volume Information,System Volume Information,,0,2026-05-19 19:56:47.6680427,2026-05-19 19:56:47.6680427,2026-05-19 19:56:47.6680427,2026-05-19 19:56:47.6680427,.,0x600,,,,,Hidden|System|Directory_Internal,4473461602,BUILTIN\Administrators (S-1-5-32-544),SYSTEM (S-1-5-18),1 ACE(s): ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL,False,,,,False,True,False,False,False,False,,,,,,,False,,,False,
0x701:0x2,System Volume Information/WPSettings.dat,WPSettings.dat,.dat,12,2026-05-19 19:56:47.6680427,2026-05-19 19:56:47.6715199,2026-05-19 19:56:47.6715199,2026-05-19 19:56:47.6715199,System Volume Information,0x701,System Volume Information,0x701,0x2,,Archive,4895999733,SYSTEM (S-1-5-18),SYSTEM (S-1-5-18),1 ACE(s): ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL,False,,embedded,inline,True,False,False,False,False,False,1,,,,,,False,16,,False,
0x76f,testintegrity,testintegrity,,0,2026-05-19 20:00:14.2778971,2026-05-19 20:00:58.3619577,2026-05-19 20:00:58.3619577,2026-05-19 20:00:58.4176371,.,0x600,,,,,Directory_Internal,5803519684,BUILTIN\Administrators (S-1-5-32-544),Domain Users (S-1-5-21-1381930129-1351690851-2600027751-513),8 ACE(s): ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL | ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:CREATOR OWNER (S-1-3-0):GENERIC_ALL | ALLOWED:BUILTIN\Users (S-1-5-32-545):READ_EXECUTE | ALLOWED:BUILTIN\Users (S-1-5-32-545):APPEND_DATA | …,False,,,,False,True,False,False,False,False,,,,,,,False,,,False,
0x78f,testintegrity/elvis_dir_index_149423,elvis_dir_index_149423,,0,2026-05-19 20:00:54.9057685,2026-05-19 20:00:58.1148591,2026-05-19 20:00:58.1148591,2026-05-19 20:00:58.1148591,testintegrity,0x76f,,,,,Directory_Internal,5803519684,BUILTIN\Administrators (S-1-5-32-544),Domain Users (S-1-5-21-1381930129-1351690851-2600027751-513),8 ACE(s): ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL | ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:CREATOR OWNER (S-1-3-0):GENERIC_ALL | ALLOWED:BUILTIN\Users (S-1-5-32-545):READ_EXECUTE | ALLOWED:BUILTIN\Users (S-1-5-32-545):APPEND_DATA | …,False,,,,False,True,False,False,False,False,,,,,,,False,,,False,
0x79c,testintegrity/elvis_dir_index_149423/elvis_dir_victor_121923,elvis_dir_victor_121923,,0,2026-05-19 20:00:56.7558281,2026-05-19 20:00:58.3532541,2026-05-19 20:00:58.3532541,2026-05-19 20:00:58.4211205,testintegrity/elvis_dir_index_149423,0x78f,,,,,Directory_Internal,5803519684,BUILTIN\Administrators (S-1-5-32-544),Domain Users (S-1-5-21-1381930129-1351690851-2600027751-513),8 ACE(s): ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL | ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:CREATOR OWNER (S-1-3-0):GENERIC_ALL | ALLOWED:BUILTIN\Users (S-1-5-32-545):READ_EXECUTE | ALLOWED:BUILTIN\Users (S-1-5-32-545):APPEND_DATA | …,False,,,,False,True,False,False,False,False,,,,,,,False,,,False,
0x79d,testintegrity/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324,elvis_dir_hotel_670324,,0,2026-05-19 20:00:56.8793764,2026-05-19 20:00:58.2572720,2026-05-19 20:00:58.2572720,2026-05-19 20:00:58.4211205,testintegrity/elvis_dir_index_149423/elvis_dir_victor_121923,0x79c,,,,,Directory_Internal,5803519684,BUILTIN\Administrators (S-1-5-32-544),Domain Users (S-1-5-21-1381930129-1351690851-2600027751-513),8 ACE(s): ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL | ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:CREATOR OWNER (S-1-3-0):GENERIC_ALL | ALLOWED:BUILTIN\Users (S-1-5-32-545):READ_EXECUTE | ALLOWED:BUILTIN\Users (S-1-5-32-545):APPEND_DATA | …,False,,,,False,True,False,False,False,False,,,,,,,False,,,False,
0x79e,testintegrity/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165,elvis_dir_output_358165,,0,2026-05-19 20:00:57.0809488,2026-05-19 20:00:57.9510136,2026-05-19 20:00:57.9510136,2026-05-19 20:00:57.9510136,testintegrity/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324,0x79d,,,,,Directory_Internal,5803519684,BUILTIN\Administrators (S-1-5-32-544),Domain Users (S-1-5-21-1381930129-1351690851-2600027751-513),8 ACE(s): ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL | ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:CREATOR OWNER (S-1-3-0):GENERIC_ALL | ALLOWED:BUILTIN\Users (S-1-5-32-545):READ_EXECUTE | ALLOWED:BUILTIN\Users (S-1-5-32-545):APPEND_DATA | …,False,,,,False,True,False,False,False,False,,,,,,,False,,,False,
0x798,testintegrity/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/elvis_dir_oscar_874075,elvis_dir_oscar_874075,,0,2026-05-19 20:00:56.1502708,2026-05-19 20:00:58.2001276,2026-05-19 20:00:58.2001276,2026-05-19 20:00:58.4228599,testintegrity/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165,0x79e,,,,,Directory_Internal,5803519684,BUILTIN\Administrators (S-1-5-32-544),Domain Users (S-1-5-21-1381930129-1351690851-2600027751-513),8 ACE(s): ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL | ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:CREATOR OWNER (S-1-3-0):GENERIC_ALL | ALLOWED:BUILTIN\Users (S-1-5-32-545):READ_EXECUTE | ALLOWED:BUILTIN\Users (S-1-5-32-545):APPEND_DATA | …,False,,,,False,True,False,False,False,False,,,,,,,False,,,False,
0x784:0x4,testintegrity/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/elvis_dir_oscar_874075/xbpt_delta_victor_412034.ini,xbpt_delta_victor_412034.ini,.ini,209311,2026-05-19 20:00:53.5418661,2026-05-19 20:00:53.9908175,2026-05-19 20:00:56.5661670,2026-05-19 20:00:53.9908175,testintegrity/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/elvis_dir_oscar_874075,0x798,testintegrity/elvis_dir_victor_783323,0x784,0x4,,Archive,8486226281,BUILTIN\Administrators (S-1-5-32-544),Domain Users (S-1-5-21-1381930129-1351690851-2600027751-513),5 ACE(s): ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL | ALLOWED:BUILTIN\Users (S-1-5-32-545):READ_EXECUTE | ALLOWED:BUILTIN\Users (S-1-5-32-545):WRITE_DATA | ALLOWED:Everyone (S-1-1-0):READ_EXECUTE,False,,split,extents,False,False,False,False,False,False,1,,,,,,False,262144,,True,
0x798:0x2,testintegrity/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/elvis_dir_oscar_874075/xbpt_zulu_mike_340372.cfg,xbpt_zulu_mike_340372.cfg,.cfg,507770,2026-05-19 20:00:56.3068789,2026-05-19 20:00:56.3083386,2026-05-19 20:00:56.3083386,2026-05-19 20:00:56.3083386,testintegrity/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/elvis_dir_oscar_874075,0x798,testintegrity/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/elvis_dir_oscar_874075,0x798,0x2,,Archive,8486226281,BUILTIN\Administrators (S-1-5-32-544),Domain Users (S-1-5-21-1381930129-1351690851-2600027751-513),5 ACE(s): ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL | ALLOWED:BUILTIN\Users (S-1-5-32-545):READ_EXECUTE | ALLOWED:BUILTIN\Users (S-1-5-32-545):WRITE_DATA | ALLOWED:Everyone (S-1-1-0):READ_EXECUTE,False,,embedded,extents,False,False,False,False,False,False,1,,,,,,False,524288,,False,
0x778:0x2,testintegrity/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165/xbpt_audit_echo_178867.tmp,xbpt_audit_echo_178867.tmp,.tmp,520031,2026-01-01 07:16:17.1671215,2026-05-19 20:00:56.7662702,2026-05-19 20:00:57.7108787,2026-05-19 20:00:56.7662702,testintegrity/elvis_dir_index_149423/elvis_dir_victor_121923/elvis_dir_hotel_670324/elvis_dir_output_358165,0x79e,testintegrity/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_zulu_984398/elvis_dir_cache_558805,0x778,0x2,,Archive,8486226281,BUILTIN\Administrators (S-1-5-32-544),Domain Users (S-1-5-21-1381930129-1351690851-2600027751-513),5 ACE(s): ALLOWED:BUILTIN\Administrators (S-1-5-32-544):FULL_CONTROL | ALLOWED:SYSTEM (S-1-5-18):FULL_CONTROL | ALLOWED:BUILTIN\Users (S-1-5-32-545):READ_EXECUTE | ALLOWED:BUILTIN\Users (S-1-5-32-545):WRITE_DATA | ALLOWED:Everyone (S-1-1-0):READ_EXECUTE,False,,split,extents,False,False,False,False,False,False,1,,,,,,False,524288,,True,MEDIUM:PRE_FORMAT
