seq,timestamp,action,path,name,oid,opcodes,record_count,plcn,image
1,2026-05-19T19:56:46.898Z,MODIFY,,,,UPDATE_ROW,1,3072,wininsiderrefs8gtest2.raw
2,2026-05-19T19:56:47.391Z,WRITE,/,,0x600,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW,3,3072,wininsiderrefs8gtest2.raw
3,,INSERT,,,,INSERT_ROW SET_PARENT_ID,2,3072,wininsiderrefs8gtest2.raw
4,2026-05-19T19:56:46.898Z,MODIFY,,,,UPDATE_ROW,1,3072,wininsiderrefs8gtest2.raw
5,,MODIFY,,,,UPDATE_ROW,1,3072,wininsiderrefs8gtest2.raw
6,2026-05-19T19:56:47.668Z,CREATE,/System Volume Information,System Volume Information,0x701,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,3072,wininsiderrefs8gtest2.raw
7,,ENTRY_REMOVE,/System Volume Information,,0x701,DELETE_ROW,1,3072,wininsiderrefs8gtest2.raw
8,2026-05-19T19:57:27.836Z,CREATE,/testspecials,testspecials,0x702,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,3072,wininsiderrefs8gtest2.raw
9,,ALLOCATE,/testspecials,,0x702,ALLOCATE,1,3073,wininsiderrefs8gtest2.raw
10,2026-05-19T19:57:27.943Z,CREATE,/testspecials,mike_mike_632034.dat,0x702,INSERT_ROW INSERT_ROW SET_OBJECT,3,3073,wininsiderrefs8gtest2.raw
11,,STREAM_UPD,/testspecials,,0x702,DELETE_ROW INSERT_ROW OPEN_TABLE_FROM UPDATE_STREAM ALLOCATE UPDATE_STREAM,6,3073,wininsiderrefs8gtest2.raw
12,2026-05-19T19:57:27.995Z,CREATE,/testspecials,temp_draft_653529.tmp,0x702,INSERT_ROW INSERT_ROW SET_OBJECT,3,3073,wininsiderrefs8gtest2.raw
13,,ENTRY_REMOVE,/testspecials,,0x702,DELETE_ROW,1,3073,wininsiderrefs8gtest2.raw
14,,OP,/testspecials/dir_record_119518,,0x703,INSERT_ROW INSERT_ROW INSERT_ROW,3,3073,wininsiderrefs8gtest2.raw
15,2026-05-19T19:57:28.048Z,CREATE,/testspecials/dir_record_119518/dir_yankee_902047/dir_tango_893400/dir_backup_465193,dir_victor_917122,0x705,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,3073,wininsiderrefs8gtest2.raw
16,2026-05-19T19:57:28.061Z,CREATE,/testspecials/dir_record_119518/dir_delta_826049,symlink_log_796650.lnk,0x704,INSERT_ROW INSERT_ROW SET_OBJECT,3,3073,wininsiderrefs8gtest2.raw
17,,STREAM_UPD,/testspecials/dir_record_119518/dir_delta_826049,,0x704,DELETE_ROW INSERT_ROW OPEN_TABLE_FROM UPDATE_STREAM ALLOCATE UPDATE_STREAM,6,3074,wininsiderrefs8gtest2.raw
