# forefst wininsiderrefs8gtest2.raw specials ads
# ----------------------------------------------------------------------------

── ads  (127) — named data streams ──
  STREAM                     RESIDENCY      HOST FILE
    hidden_7357              inline         testintegrity/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/xbpt_romeo_gamma_831931.dat
    hidden_1514              inline         testintegrity/xbpt_tango_archive_828215.dat
    hidden_6206              inline         testspecials/archive_alpha_661055.txt
    hidden_3341              inline         testspecials/archive_alpha_661055.txt
    hidden_9882              inline         testspecials/backup_hotel_570010.cfg
    hidden_9722              inline         testspecials/dir_config_384571/dir_backup_503994/dir_romeo_941465/dir_mike_372259/draft_quebec_381663.json
    hidden_8375              inline         testspecials/dir_config_384571/dir_backup_503994/dir_romeo_941465/dir_mike_372259/hardlink_config_512301.tmp
    hidden_6236              inline         testspecials/dir_config_384571/dir_backup_503994/dir_romeo_941465/dir_mike_372259/hardlink_config_512301.tmp
    hidden_6095              inline         testspecials/dir_config_384571/dir_backup_503994/dir_romeo_941465/dir_mike_372259/hardlink_config_512301.tmp
    hidden_4462              inline         testspecials/dir_config_384571/dir_backup_503994/dir_romeo_941465/dir_mike_372259/hardlink_config_512301.tmp
    hidden_1772              inline         testspecials/dir_config_384571/dir_backup_503994/dir_romeo_941465/dir_mike_372259/hardlink_config_512301.tmp
    hidden_7007              inline         testspecials/dir_config_384571/dir_backup_503994/dir_romeo_941465/dir_mike_372259/hardlink_romeo_113831.xml
    hidden_4114              inline         testspecials/dir_config_384571/dir_backup_503994/dir_romeo_941465/hardlink_index_436101.tmp
    hidden_4096              inline         testspecials/dir_config_384571/dir_backup_503994/dir_romeo_941465/hardlink_index_436101.tmp
    hidden_5242              inline         testspecials/dir_config_384571/dir_backup_503994/dir_romeo_941465/hardlink_temp_263040.bin
    hidden_6158              inline         testspecials/dir_config_384571/dir_beta_813541/hardlink_gamma_947676.ini
    hidden_5402              inline         testspecials/dir_config_384571/dir_beta_813541/hardlink_gamma_947676.ini
    hidden_3772              inline         testspecials/dir_config_384571/dir_beta_813541/hardlink_gamma_947676.ini
    hidden_6594              inline         testspecials/dir_config_384571/dir_beta_813541/hardlink_quebec_375122.cfg
    hidden_5600              inline         testspecials/dir_config_384571/hardlink_india_943651.dat
    hidden_1719              inline         testspecials/dir_config_384571/mike_delta_729757.bak
    hidden_7568              inline         testspecials/dir_config_384571/record_log_195552.md
    hidden_9741              inline         testspecials/dir_gamma_666805/dir_data_621988/echo_output_850558.lnk
    hidden_8233              inline         testspecials/dir_gamma_666805/dir_data_621988/echo_output_850558.lnk
    hidden_7075              inline         testspecials/dir_gamma_666805/dir_data_621988/echo_output_850558.lnk
    hidden_5402              inline         testspecials/dir_gamma_666805/dir_data_621988/echo_output_850558.lnk
    hidden_3626              inline         testspecials/dir_gamma_666805/dir_data_621988/echo_output_850558.lnk
    hidden_3303              inline         testspecials/dir_gamma_666805/dir_data_621988/echo_output_850558.lnk
    hidden_2747              inline         testspecials/dir_gamma_666805/dir_data_621988/echo_output_850558.lnk
    hidden_1817              inline         testspecials/dir_gamma_666805/dir_data_621988/echo_output_850558.lnk
    hidden_3384              inline         testspecials/dir_gamma_666805/dir_data_621988/hardlink_kilo_772228.ini
    hidden_3227              inline         testspecials/dir_gamma_666805/dir_data_621988/hardlink_kilo_772228.ini
    hidden_5164              inline         testspecials/dir_gamma_666805/dir_temp_510750/hardlink_audit_903158.dat
    hidden_3890              inline         testspecials/dir_gamma_666805/dir_temp_510750/hardlink_audit_903158.dat
    hidden_9278              inline         testspecials/dir_gamma_666805/dir_temp_510750/hardlink_lima_186391.ini
    hidden_6568              inline         testspecials/dir_gamma_666805/dir_temp_510750/hardlink_lima_186391.ini
    hidden_2445              inline         testspecials/dir_gamma_666805/dir_temp_510750/hardlink_lima_186391.ini
    hidden_7481              inline         testspecials/dir_gamma_666805/dir_temp_510750/hardlink_sierra_246559.dat
