# forefst wininsiderrefs8gtest2.raw specials reparse
# ----------------------------------------------------------------------------

── reparse  (247) — symlinks / junctions / WSL links ──
  TAG                        TARGET                                   PATH
    IO_REPARSE_TAG_SYMLINK (0xa000000c) r:\testintegrity\xbpt_foxtrot_india_714766.ini testintegrity/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_zulu_984398/elvis_dir_cache_558805/xbpt_symlink_gamma_582874.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) r:\testintegrity\elvis_dir_log_202031\elvis_dir_record_340186\elvis_dir_gamma_109016\elvis_dir_config_541148\xbpt_index_zulu_828859.bak testintegrity/xbpt_symlink_hotel_632659.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) r:\testintegrity\xbpt_yankee_audit_433793.xml testintegrity/xbpt_symlink_output_831744.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) r:\testspecials\dir_record_119518\dir_yankee_902047\hardlink_archive_896442.lnk testspecials/archive_victor_698144.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) r:\testspecials\archive_alpha_661055.txt testspecials/beta_temp_633262.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) r:\testspecials\dir_record_119518\dir_audit_623569\november_whiskey_816548.bin testspecials/dir_config_384571/dir_backup_503994/dir_romeo_941465/dir_mike_372259/hardlink_cache_615791.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) r:\testspecials\dir_quebec_903671\dir_audit_623569\dir_report_888370\hardlink_oscar_136513.lnk testspecials/dir_config_384571/dir_backup_503994/dir_romeo_941465/dir_mike_372259/hardlink_foxtrot_312554.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) r:\testspecials\dir_foxtrot_682105\dir_audit_623569\draft_yankee_800732.md testspecials/dir_config_384571/dir_backup_503994/dir_romeo_941465/dir_mike_372259/hardlink_quebec_108250.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) r:\testspecials\dir_record_119518\dir_audit_623569\dir_november_945195\echo_india_397929.xml testspecials/dir_config_384571/dir_backup_503994/dir_romeo_941465/dir_mike_372259/symlink_oscar_486618.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) r:\testspecials\dir_romeo_974824\symlink_cache_302620.lnk testspecials/dir_config_384571/dir_backup_503994/dir_romeo_941465/hardlink_lima_529787.lnk
    IO_REPARSE_TAG_SYMLINK (0xa000000c) r:\testspecials\dir_romeo_974824\data_yankee_445185.bak testspecials/dir_config_384571/dir_backup_503994/dir_romeo_941465/hardlink_log_896819.lnk
